episode,step,state,action,reward,next_state,terminated,current_q,next_q_max,target,td_error,updated_q
1,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
2,0,0,RIGHT,0.0,1,False,0.0,0.0,0.0,0.0,0.0
2,1,1,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
3,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
4,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
5,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
6,0,0,RIGHT,0.0,1,False,0.0,0.0,0.0,0.0,0.0
6,1,1,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
7,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
8,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
9,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
10,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
11,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
12,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
13,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
14,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
15,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
16,0,0,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
17,0,0,RIGHT,0.0,1,False,0.0,0.0,0.0,0.0,0.0
17,1,1,LEFT,0.0,2,True,0.0,0.0,0.0,0.0,0.0
18,0,0,RIGHT,0.0,1,False,0.0,0.0,0.0,0.0,0.0
18,1,1,RIGHT,1.0,2,True,0.0,0.0,1.0,1.0,0.1
19,0,0,RIGHT,0.0,1,False,0.0,0.1,0.099,0.099,0.0099
19,1,1,RIGHT,1.0,2,True,0.1,0.0,1.0,0.9,0.19
20,0,0,RIGHT,0.0,1,False,0.0099,0.19,0.1881,0.1782,0.02772
20,1,1,RIGHT,1.0,2,True,0.19,0.0,1.0,0.81,0.271
