global_step,algorithm,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,replay_insertion_calls_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
100489,double_dqn,427,6.0,391,0.0,0.0,0.05,,,,,,,,,,490,10000,0.049,675.4747658196723,675.4747658196723,24751,False,201,100000,0.0,0.0,2,RIGHT,greedy,21133,25593,26459,27305,9355,91135,0.0930938401831028,0,50245,2,2,675.4747658196723,69263.7338951213,2,2,,,2,RIGHT,False,,
100550,double_dqn,428,12.0,648,0.0,0.0,0.05,,,,,,,,,,550,10000,0.055,669.5995125080009,669.5995125080009,24751,False,202,100500,0.0,0.0,2,RIGHT,greedy,21137,25608,26483,27322,9357,91193,0.0930581800099453,1,50275,2,2,669.5995125080009,61207.482711526805,2,2,,,2,RIGHT,False,,
101099,double_dqn,429,5.0,305,0.0,0.0,0.05,,,,,,,,,,1100,10000,0.11,625.4505731652573,625.4505731652573,24776,True,203,101000,0.0,0.0,3,LEFT,greedy,21177,25809,26686,27428,9386,91714,0.09283877349159249,0,50550,2,2,625.4505731652573,28742.296794094327,2,2,,,3,LEFT,False,,
101164,double_dqn,430,5.0,307,0.0,0.0,0.05,,,,,,,,,,1164,10000,0.1164,593.841375191367,593.841375191367,24792,True,203,101000,0.0,0.0,3,LEFT,greedy,21178,25823,26717,27446,9390,91774,0.09281958008777826,1,50582,2,2,593.841375191367,25805.570824681894,2,2,,,3,LEFT,False,,
101195,double_dqn,430,,,0.0,0.0,0.05,0.0026794662699103355,1.67796790599823,2.4741451740264893,0.9354018568992615,1.680356502532959,2.3772003650665283,0.05129547417163849,0.22799193859100342,0.33257532119750977,1196,10000,0.1196,576.4173770720083,576.4173770720083,24800,True,203,101000,0.0,0.0,1,FIRE,greedy,21178,25832,26738,27448,9391,91805,0.09280011067631132,0,50598,2,2,576.4173770720083,24385.925121312273,2,2,,,1,FIRE,False,,
101196,double_dqn,430,,,0.0,0.0,0.05,0.0026794662699103355,1.67796790599823,2.4741451740264893,0.9354018568992615,1.680356502532959,2.3772003650665283,0.05129547417163849,0.22799193859100342,0.33257532119750977,1196,10000,0.1196,576.397931229839,576.397931229839,24800,True,203,101000,0.0,0.0,2,RIGHT,greedy,21178,25832,26738,27448,9391,91805,0.09280011067631132,1,50598,2,2,576.397931229839,24385.102445123233,2,2,,,2,RIGHT,False,,
101595,double_dqn,430,,,4.0,4.0,0.05,0.011469230055809021,1.4686098098754883,2.270150899887085,0.7850181460380554,1.481044054031372,2.309389352798462,0.07005000114440918,0.7976049184799194,0.2039245069026947,1596,10000,0.1596,516.9168822990175,516.9168822990175,24900,True,204,101500,0.0,0.0,2,RIGHT,greedy,21193,25936,26900,27567,9409,92187,0.09261191385487617,0,50798,2,2,516.9168822990175,16452.596357785395,2,2,,,2,RIGHT,False,,
101596,double_dqn,430,,,3.0,3.0,0.05,0.011469230055809021,1.4686098098754883,2.270150899887085,0.7850181460380554,1.481044054031372,2.309389352798462,0.07005000114440918,0.7976049184799194,0.2039245069026947,1596,10000,0.1596,516.9058997441458,516.9058997441458,24900,True,204,101500,0.0,0.0,3,LEFT,greedy,21193,25936,26900,27567,9409,92187,0.09261191385487617,1,50798,2,2,516.9058997441458,16452.246801505713,2,2,,,3,LEFT,False,,
101755,double_dqn,431,5.0,328,0.0,0.0,0.05,,,,,,,,,,1756,10000,0.1756,504.39569647065514,504.39569647065514,24940,True,204,101500,0.0,0.0,3,LEFT,greedy,21213,25959,26967,27617,9413,92343,0.0925056016352844,0,50878,2,2,504.39569647065514,14614.26209853872,2,2,,,3,LEFT,False,,
101810,double_dqn,432,5.0,323,0.0,0.0,0.05,,,,,,,,,,1810,10000,0.181,498.87876310346076,498.87876310346076,24953,False,204,101500,0.0,0.0,2,RIGHT,greedy,21220,25967,26995,27628,9414,92396,0.09246635890384049,1,50905,2,2,498.87876310346076,14030.620682752304,2,2,,,2,RIGHT,False,,
101995,double_dqn,432,,,3.0,3.0,0.05,0.0018669369164854288,1.5188838243484497,2.5269954204559326,0.5655695199966431,1.5449330806732178,2.4950387477874756,0.04727870225906372,0.12422502040863037,0.24553588032722473,1996,10000,0.1996,484.383991580559,484.383991580559,25000,True,204,101500,0.0,0.0,1,FIRE,greedy,21234,26030,27047,27685,9426,92570,0.09241538883877799,0,50998,2,2,484.383991580559,12376.05952035338,2,2,,,1,FIRE,False,,
101996,double_dqn,432,,,1.0,1.0,0.05,0.0018669369164854288,1.5188838243484497,2.5269954204559326,0.5655695199966431,1.5449330806732178,2.4950387477874756,0.04727870225906372,0.12422502040863037,0.24553588032722473,1996,10000,0.1996,484.37692697453105,484.37692697453105,25000,True,204,101500,0.0,0.0,3,LEFT,greedy,21234,26030,27047,27685,9426,92570,0.09241538883877799,1,50998,2,2,484.37692697453105,12375.87901896149,2,2,,,3,LEFT,False,,
102340,double_dqn,433,4.0,265,0.0,0.0,0.05,,,,,,,,,,2340,10000,0.234,466.7317777372394,466.7317777372394,25086,True,205,102000,0.0,0.0,2,RIGHT,greedy,21260,26085,27232,27763,9443,92897,0.09227086183310533,1,51170,2,2,466.7317777372394,10206.267122570316,2,2,,,2,RIGHT,False,,
102395,double_dqn,433,,,6.0,6.0,0.05,0.001962107140570879,1.7475860118865967,2.632171630859375,0.6633189916610718,1.766174077987671,2.5904247760772705,0.051946721971035004,0.13492918014526367,0.0965600460767746,2396,10000,0.2396,464.5322006666417,464.5322006666417,25100,True,205,102000,0.0,0.0,1,FIRE,greedy,21267,26096,27252,27781,9447,92949,0.0922594632602836,0,51198,2,2,464.5322006666417,9926.176798719,2,2,,,1,FIRE,False,,
102396,double_dqn,433,,,0.0,0.0,0.05,0.001962107140570879,1.7475860118865967,2.632171630859375,0.6633189916610718,1.766174077987671,2.5904247760772705,0.051946721971035004,0.13492918014526367,0.0965600460767746,2396,10000,0.2396,464.526121521877,464.526121521877,25100,True,205,102000,0.0,0.0,3,LEFT,greedy,21267,26096,27252,27781,9447,92949,0.0922594632602836,1,51198,2,2,464.526121521877,9926.046898863546,2,2,,,3,LEFT,False,,
