global_step,algorithm,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,replay_insertion_calls_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
249,double_dqn,1,0.0,125,0.0,0.0,0.87892,,,,,,,,,,250,10000,0.025,366.6440716702693,366.6440716702693,0,False,1,0,0.0,0.0,0,NOOP,random,87,63,51,49,230,20,0.92,0,125,2,2,366.6440716702693,183.32203583513464,2,2,,,0,NOOP,False,,
404,double_dqn,2,2.0,202,0.0,0.0,0.865745,,,,,,,,,,404,10000,0.0404,416.5195360019133,416.5195360019133,0,False,1,0,0.0,0.0,3,LEFT,random,143,101,83,77,354,50,0.8762376237623762,1,202,2,2,416.5195360019133,208.25976800095665,2,2,,,3,LEFT,False,,
499,double_dqn,3,0.0,125,0.0,0.0,0.85767,,,,,,,,,,500,10000,0.05,430.1278770521879,430.1278770521879,0,False,2,500,0.0,0.0,0,NOOP,random,173,127,103,97,441,59,0.882,0,250,2,2,430.1278770521879,215.06393852609395,2,2,,,0,NOOP,False,,
706,double_dqn,4,1.0,151,0.0,0.0,0.840075,,,,,,,,,,706,10000,0.0706,468.38087433080295,468.38087433080295,0,False,2,500,0.0,0.0,2,RIGHT,random,257,172,148,129,617,89,0.8739376770538244,1,353,2,2,468.38087433080295,234.19043716540148,2,2,,,2,RIGHT,False,,
841,double_dqn,5,1.0,171,0.0,0.0,0.8286,,,,,,,,,,842,10000,0.0842,480.60260493140413,480.60260493140413,0,False,2,500,0.0,0.0,2,RIGHT,random,299,206,178,159,730,112,0.8669833729216152,0,421,2,2,480.60260493140413,240.30130246570207,2,2,,,2,RIGHT,False,,
1089,double_dqn,6,0.0,124,0.0,0.0,0.80752,,,,,,,,,,1090,10000,0.109,466.38115012497656,466.38115012497656,23,False,3,1000,0.0,0.0,1,FIRE,random,373,275,220,222,935,155,0.8577981651376146,0,545,2,2,466.38115012497656,233.19057506248828,2,2,,,1,FIRE,False,,
1106,double_dqn,7,2.0,200,0.0,0.0,0.806075,,,,,,,,,,1106,10000,0.1106,461.5477708155562,461.5477708155562,27,False,3,1000,0.0,0.0,1,FIRE,random,378,281,223,224,947,159,0.85623869801085,1,553,2,2,461.5477708155562,230.7738854077781,2,2,,,1,FIRE,False,,
1339,double_dqn,8,0.0,125,0.0,0.0,0.78627,,,,,,,,,,1340,10000,0.134,431.2693031446193,431.2693031446193,86,True,3,1000,0.0,0.0,0,NOOP,random,432,351,293,264,1131,209,0.8440298507462687,0,670,2,2,431.2693031446193,215.63465157230965,2,2,,,0,NOOP,False,,
1395,double_dqn,8,,,0.0,0.0,0.78151,8.103504660539329e-05,0.03564728796482086,0.04472676292061806,0.024976562708616257,0.025638476014137268,0.02599838748574257,0.010401604697108269,0.01908186823129654,0.007591704837977886,1396,10000,0.1396,424.70806722422975,424.70806722422975,100,True,3,1000,0.0,0.0,2,RIGHT,random,447,370,306,273,1176,220,0.8424068767908309,0,698,2,2,424.70806722422975,212.35403361211488,2,2,,,2,RIGHT,False,,
1396,double_dqn,8,,,2.0,2.0,0.781425,8.103504660539329e-05,0.03564728796482086,0.04472676292061806,0.024976562708616257,0.025638476014137268,0.02599838748574257,0.010401604697108269,0.01908186823129654,0.007591704837977886,1396,10000,0.1396,424.69929403536804,424.69929403536804,100,True,3,1000,0.0,0.0,2,RIGHT,random,447,370,306,273,1176,220,0.8424068767908309,1,698,2,2,424.69929403536804,212.34964701768402,2,2,,,2,RIGHT,False,,
