global_step,algorithm,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,replay_insertion_calls_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
251264,double_dqn,751,20.0,949,0.0,0.0,0.05,,,,,,,,,,1264,10000,0.1264,481.02905511496056,481.02905511496056,62067,True,503,251000,0.0,0.0,1,FIRE,greedy,41469,63098,66784,79913,16658,234606,0.06629680336220072,1,125632,2,2,481.02905511496056,47810.63469319836,2,2,,,1,FIRE,False,,
251395,double_dqn,751,,,27.0,24.0,0.05,0.0014592563966289163,2.1353187561035156,3.10408353805542,0.9618828296661377,2.140089988708496,3.236213207244873,0.04362159222364426,0.13212966918945312,0.19599412381649017,1396,10000,0.1396,467.9996207714736,467.9996207714736,62100,True,503,251000,0.0,0.0,3,LEFT,greedy,41494,63114,66806,79982,16668,234728,0.06630177091123168,0,125698,2,2,467.9996207714736,42139.40997975121,2,2,,,3,LEFT,False,,
251396,double_dqn,751,,,2.0,2.0,0.05,0.0014592563966289163,2.1353187561035156,3.10408353805542,0.9618828296661377,2.140089988708496,3.236213207244873,0.04362159222364426,0.13212966918945312,0.19599412381649017,1396,10000,0.1396,467.98968962490636,467.98968962490636,62100,True,503,251000,0.0,0.0,0,NOOP,greedy,41494,63114,66806,79982,16668,234728,0.06630177091123168,1,125698,2,2,467.98968962490636,42138.515763948046,2,2,,,0,NOOP,False,,
251519,double_dqn,752,31.0,1158,0.0,0.0,0.05,,,,,,,,,,1520,10000,0.152,453.6365265009397,453.6365265009397,62131,True,504,251500,0.0,0.0,3,LEFT,greedy,41548,63143,66822,80007,16674,234846,0.06629293893129772,0,125760,2,2,453.6365265009397,37532.453666288275,2,2,,,3,LEFT,False,,
251795,double_dqn,752,,,2.0,2.0,0.05,0.002046543639153242,2.0914740562438965,3.339646339416504,0.9510197043418884,2.0868844985961914,3.25712251663208,0.040128208696842194,0.28070569038391113,0.27799704670906067,1796,10000,0.1796,433.21774750161126,433.21774750161126,62200,True,504,251500,0.0,0.0,2,RIGHT,greedy,41630,63209,66857,80100,16683,235113,0.06625601677548491,0,125898,2,2,433.21774750161126,30368.178159776086,2,2,,,2,RIGHT,False,,
251796,double_dqn,752,,,5.0,5.0,0.05,0.002046543639153242,2.0914740562438965,3.339646339416504,0.9510197043418884,2.0868844985961914,3.25712251663208,0.040128208696842194,0.28070569038391113,0.27799704670906067,1796,10000,0.1796,433.2100670695018,433.2100670695018,62200,True,504,251500,0.0,0.0,1,FIRE,greedy,41630,63209,66857,80100,16683,235113,0.06625601677548491,1,125898,2,2,433.2100670695018,30367.63976832747,2,2,,,1,FIRE,False,,
252195,double_dqn,752,,,7.0,7.0,0.05,0.001136605627834797,2.0717411041259766,2.9586381912231445,0.6127122640609741,2.097731351852417,2.950542688369751,0.036100395023822784,0.14890265464782715,0.1378629356622696,2196,10000,0.2196,421.01886450379766,421.01886450379766,62300,True,505,252000,0.0,0.0,1,FIRE,greedy,41700,63262,66965,80269,16705,235491,0.06623816396770765,0,126098,2,2,421.01886450379766,24175.608732331457,2,2,,,1,FIRE,False,,
252196,double_dqn,752,,,10.0,10.0,0.05,0.001136605627834797,2.0717411041259766,2.9586381912231445,0.6127122640609741,2.097731351852417,2.950542688369751,0.036100395023822784,0.14890265464782715,0.1378629356622696,2196,10000,0.2196,421.0137712633244,421.0137712633244,62300,True,505,252000,0.0,0.0,0,NOOP,greedy,41700,63262,66965,80269,16705,235491,0.06623816396770765,1,126098,2,2,421.0137712633244,24175.31626992836,2,2,,,0,NOOP,False,,
252362,double_dqn,753,15.0,549,0.0,0.0,0.05,,,,,,,,,,2362,10000,0.2362,417.50584694128025,417.50584694128025,62341,False,505,252000,0.0,0.0,0,NOOP,greedy,41745,63284,67009,80324,16716,235646,0.06623818165967935,1,126181,2,2,417.50584694128025,22303.68555160783,2,2,,,0,NOOP,False,,
252595,double_dqn,753,,,11.0,11.0,0.05,0.00881926715373993,2.0896589756011963,2.9687232971191406,0.9442568421363831,2.083087205886841,2.9648385047912598,0.06810358166694641,0.6600630283355713,0.36677616834640503,2596,10000,0.2596,413.14707848477343,413.14707848477343,62400,True,506,252500,0.0,0.0,1,FIRE,greedy,41787,63341,67072,80396,16724,235872,0.06620849102915327,0,126298,2,2,413.14707848477343,20100.019151952973,2,2,,,1,FIRE,False,,
