global_step,algorithm,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,replay_insertion_calls_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
100686,dqn,418,11.0,633,0.0,0.0,0.05,,,,,,,,,,686,10000,0.0686,570.0542681907768,570.0542681907768,24751,False,202,100500,0.0,0.0,3,LEFT,greedy,15644,26641,28155,30246,9308,91378,0.09244582166338915,1,50343,2,2,570.0542681907768,41834.17204595959,2,2,,,3,LEFT,False,,
100895,dqn,419,13.0,787,0.0,0.0,0.05,,,,,,,,,,896,10000,0.0896,596.0973056798096,596.0973056798096,24751,False,202,100500,0.0,0.0,2,RIGHT,greedy,15703,26648,28230,30315,9316,91580,0.09233269901680939,0,50448,2,2,596.0973056798096,33562.407228722135,2,2,,,2,RIGHT,False,,
101195,dqn,419,,,1.0,1.0,0.05,0.003125314135104418,1.7976596355438232,2.945237874984741,0.7568445801734924,1.772874116897583,2.9222025871276855,0.06363437324762344,0.23529911041259766,0.7395881414413452,1196,10000,0.1196,519.2741901273288,519.2741901273288,24800,True,203,101000,0.0,0.0,0,NOOP,greedy,15759,26745,28305,30387,9322,91874,0.09211826554409265,0,50598,2,2,519.2741901273288,21968.424307744634,2,2,,,0,NOOP,False,,
101196,dqn,419,,,5.0,5.0,0.05,0.003125314135104418,1.7976596355438232,2.945237874984741,0.7568445801734924,1.772874116897583,2.9222025871276855,0.06363437324762344,0.23529911041259766,0.7395881414413452,1196,10000,0.1196,519.256221932237,519.256221932237,24800,True,203,101000,0.0,0.0,3,LEFT,greedy,15759,26745,28305,30387,9322,91874,0.09211826554409265,1,50598,2,2,519.256221932237,21967.664144922517,2,2,,,3,LEFT,False,,
101485,dqn,420,5.0,295,0.0,0.0,0.05,,,,,,,,,,1486,10000,0.1486,490.87359942516355,490.87359942516355,24872,False,203,101000,0.0,0.0,1,FIRE,greedy,15809,26814,28367,30496,9338,92148,0.09201269140571114,0,50743,2,2,490.87359942516355,16762.04512491997,2,2,,,1,FIRE,False,,
101530,dqn,421,8.0,422,0.0,0.0,0.05,,,,,,,,,,1530,10000,0.153,485.42466440587106,485.42466440587106,24883,False,204,101500,0.0,0.0,1,FIRE,greedy,15810,26840,28375,30505,9340,92190,0.09199251452772579,1,50765,2,2,485.42466440587106,16106.263456577806,2,2,,,1,FIRE,False,,
101595,dqn,421,,,1.0,1.0,0.05,0.0008981680730357766,1.7774919271469116,2.812933921813965,0.8590983748435974,1.7936457395553589,2.88265061378479,0.032495781779289246,0.11549174785614014,0.0871371477842331,1596,10000,0.1596,477.62966405256435,477.62966405256435,24900,True,204,101500,0.0,0.0,0,NOOP,greedy,15815,26891,28379,30511,9343,92253,0.0919622819796055,0,50798,2,2,477.62966405256435,15202.1501720189,2,2,,,0,NOOP,False,,
101596,dqn,421,,,0.0,0.0,0.05,0.0008981680730357766,1.7774919271469116,2.812933921813965,0.8590983748435974,1.7936457395553589,2.88265061378479,0.032495781779289246,0.11549174785614014,0.0871371477842331,1596,10000,0.1596,477.6211450622684,477.6211450622684,24900,True,204,101500,0.0,0.0,0,NOOP,greedy,15815,26891,28379,30511,9343,92253,0.0919622819796055,1,50798,2,2,477.6211450622684,15201.87902686285,2,2,,,0,NOOP,False,,
101995,dqn,421,,,4.0,4.0,0.05,0.002660982310771942,1.8479559421539307,3.03301739692688,0.8418668508529663,1.8348722457885742,2.970806121826172,0.04482211917638779,0.28053927421569824,0.4438261389732361,1996,10000,0.1996,457.60911798618605,457.60911798618605,25000,True,204,101500,0.0,0.0,1,FIRE,greedy,15879,26990,28495,30632,9363,92633,0.09179771755755127,0,50998,2,2,457.60911798618605,11691.958817164086,2,2,,,1,FIRE,False,,
101996,dqn,421,,,3.0,3.0,0.05,0.002660982310771942,1.8479559421539307,3.03301739692688,0.8418668508529663,1.8348722457885742,2.970806121826172,0.04482211917638779,0.28053927421569824,0.4438261389732361,1996,10000,0.1996,457.6028967507839,457.6028967507839,25000,True,204,101500,0.0,0.0,3,LEFT,greedy,15879,26990,28495,30632,9363,92633,0.09179771755755127,1,50998,2,2,457.6028967507839,11691.79986397619,2,2,,,3,LEFT,False,,
