global_step,algorithm,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,replay_insertion_calls_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
395,dqn,1,2.0,198,0.0,0.0,0.86651,,,,,,,,,,396,10000,0.0396,500.85917583382303,500.85917583382303,0,False,1,0,0.0,0.0,1,FIRE,random,91,104,126,75,362,34,0.9141414141414141,0,198,2,2,500.85917583382303,250.42958791691152,2,2,,,1,FIRE,False,,
598,dqn,2,4.0,299,0.0,0.0,0.849255,,,,,,,,,,598,10000,0.0598,518.9456828742344,518.9456828742344,0,False,2,500,0.0,0.0,1,FIRE,random,134,168,182,114,538,60,0.8996655518394648,1,299,2,2,518.9456828742344,259.4728414371172,2,2,,,1,FIRE,False,,
645,dqn,3,0.0,125,0.0,0.0,0.84526,,,,,,,,,,646,10000,0.0646,505.74593145201203,505.74593145201203,0,False,2,500,0.0,0.0,1,FIRE,random,145,178,204,119,573,73,0.8869969040247678,0,323,2,2,505.74593145201203,252.87296572600602,2,2,,,1,FIRE,False,,
902,dqn,4,1.0,152,0.0,0.0,0.823415,,,,,,,,,,902,10000,0.0902,554.5200825120326,554.5200825120326,0,False,2,500,0.0,0.0,0,NOOP,random,194,248,281,179,791,111,0.876940133037694,1,451,2,2,554.5200825120326,277.2600412560163,2,2,,,0,NOOP,False,,
951,dqn,5,1.0,153,0.0,0.0,0.81925,,,,,,,,,,952,10000,0.0952,556.8094491127769,556.8094491127769,0,False,2,500,0.0,0.0,1,FIRE,random,203,263,299,187,834,118,0.8760504201680672,0,476,2,2,556.8094491127769,278.40472455638843,2,2,,,1,FIRE,False,,
1253,dqn,6,1.0,151,0.0,0.0,0.7935800000000001,,,,,,,,,,1254,10000,0.1254,493.87980913073943,493.87980913073943,64,False,3,1000,0.0,0.0,0,NOOP,random,271,348,374,261,1086,168,0.8660287081339713,0,627,2,2,493.87980913073943,246.93990456536972,2,2,,,0,NOOP,False,,
1394,dqn,7,3.0,246,0.0,0.0,0.781595,,,,,,,,,,1394,10000,0.1394,488.84553726864453,488.84553726864453,99,False,3,1000,0.0,0.0,1,FIRE,greedy,300,388,417,289,1193,201,0.8558106169296987,1,697,2,2,488.84553726864453,244.42276863432227,2,2,,,1,FIRE,False,,
1395,dqn,7,,,1.0,1.0,0.78151,0.0001307244529016316,0.04893158748745918,0.05580858141183853,0.0365213006734848,0.035671014338731766,0.036102499812841415,0.014304512180387974,0.020166072994470596,0.011401773430407047,1396,10000,0.1396,487.8454323940558,487.8454323940558,100,True,3,1000,0.0,0.0,3,LEFT,random,300,389,417,290,1195,201,0.8560171919770774,0,698,2,2,487.8454323940558,243.9227161970279,2,2,,,3,LEFT,False,,
1396,dqn,7,,,0.0,0.0,0.781425,0.0001307244529016316,0.04893158748745918,0.05580858141183853,0.0365213006734848,0.035671014338731766,0.036102499812841415,0.014304512180387974,0.020166072994470596,0.011401773430407047,1396,10000,0.1396,487.8358685162566,487.8358685162566,100,True,3,1000,0.0,0.0,1,FIRE,fire_reset,300,389,417,290,1195,201,0.8560171919770774,1,698,2,2,487.8358685162566,243.9179342581283,2,2,,,1,FIRE,False,initial_serve,
1647,dqn,8,2.0,197,0.0,0.0,0.76009,,,,,,,,,,1648,10000,0.1648,482.15258660874184,482.15258660874184,163,True,4,1500,0.0,0.0,0,NOOP,random,359,461,476,352,1391,257,0.8440533980582524,0,824,2,2,482.15258660874184,241.07629330437092,2,2,,,0,NOOP,False,,
1795,dqn,8,,,0.0,0.0,0.74751,0.015603581443428993,0.049872104078531265,0.05787038803100586,0.04336969554424286,0.07360424101352692,1.0423535108566284,0.03774790093302727,0.9981890916824341,0.03694005683064461,1796,10000,0.1796,478.9948618275242,478.9948618275242,200,True,4,1500,0.0,0.0,1,FIRE,random,382,492,542,380,1502,294,0.8363028953229399,0,898,2,2,478.9948618275242,239.4974309137621,2,2,,,1,FIRE,False,,
1796,dqn,8,,,3.0,3.0,0.747425,0.015603581443428993,0.049872104078531265,0.05787038803100586,0.04336969554424286,0.07360424101352692,1.0423535108566284,0.03774790093302727,0.9981890916824341,0.03694005683064461,1796,10000,0.1796,478.98745253957856,478.98745253957856,200,True,4,1500,0.0,0.0,3,LEFT,random,382,492,542,380,1502,294,0.8363028953229399,1,898,2,2,478.98745253957856,239.49372626978928,2,2,,,3,LEFT,False,,
1897,dqn,9,0.0,125,0.0,0.0,0.73884,,,,,,,,,,1898,10000,0.1898,478.16437683954274,478.16437683954274,225,False,4,1500,0.0,0.0,3,LEFT,random,407,519,569,403,1577,321,0.8308746048472075,0,949,2,2,478.16437683954274,239.08218841977137,2,2,,,3,LEFT,False,,
2028,dqn,10,4.0,317,0.0,0.0,0.727705,,,,,,,,,,2028,10000,0.2028,474.23483098223454,474.23483098223454,258,True,5,2000,0.0,0.0,3,LEFT,greedy,426,564,589,449,1664,364,0.8205128205128205,1,1014,2,2,474.23483098223454,237.11741549111727,2,2,,,3,LEFT,False,,
2145,dqn,11,0.0,124,0.0,0.0,0.71776,,,,,,,,,,2146,10000,0.2146,472.8058322724372,472.8058322724372,287,False,5,2000,0.0,0.0,3,LEFT,random,446,616,611,473,1752,394,0.8164026095060578,0,1073,2,2,472.8058322724372,236.4029161362186,2,2,,,3,LEFT,False,,
2195,dqn,11,,,0.0,0.0,0.71351,5.163691093912348e-05,0.06226109713315964,0.07598014175891876,0.053690433502197266,0.05599205940961838,0.0564124621450901,0.007208821829408407,0.01975177973508835,0.006775216665118933,2196,10000,0.2196,472.05210767515223,472.05210767515223,300,True,5,2000,0.0,0.0,2,RIGHT,random,458,641,618,479,1788,408,0.8142076502732241,0,1098,2,2,472.05210767515223,236.02605383757611,2,2,,,2,RIGHT,False,,
2196,dqn,11,,,0.0,0.0,0.713425,5.163691093912348e-05,0.06226109713315964,0.07598014175891876,0.053690433502197266,0.05599205940961838,0.0564124621450901,0.007208821829408407,0.01975177973508835,0.006775216665118933,2196,10000,0.2196,472.04525840053105,472.04525840053105,300,True,5,2000,0.0,0.0,3,LEFT,random,458,641,618,479,1788,408,0.8142076502732241,1,1098,2,2,472.04525840053105,236.02262920026553,2,2,,,3,LEFT,False,,
2276,dqn,12,0.0,124,0.0,0.0,0.7066250000000001,,,,,,,,,,2276,10000,0.2276,471.1911046567747,471.1911046567747,320,True,5,2000,0.0,0.0,0,NOOP,random,468,665,630,513,1846,430,0.8110720562390158,1,1138,2,2,471.1911046567747,235.59555232838736,2,2,,,0,NOOP,False,,
2395,dqn,13,0.0,125,0.0,0.0,0.69651,,,,,,,,,,2396,10000,0.2396,470.46280010109433,470.46280010109433,350,True,5,2000,0.0,0.0,1,FIRE,greedy,490,693,675,538,1929,467,0.8050918196994992,0,1198,2,2,470.46280010109433,235.23140005054717,2,2,,,1,FIRE,False,,
2595,dqn,13,,,0.0,0.0,0.6795100000000001,9.092420077649876e-05,0.06853808462619781,0.07464541494846344,0.0633419081568718,0.05712246149778366,0.057499226182699203,0.012974045239388943,0.01725926250219345,0.011932041496038437,2596,10000,0.2596,469.19578740467676,469.19578740467676,400,True,6,2500,0.0,0.0,1,FIRE,fire_reset,515,797,712,572,2072,524,0.7981510015408321,0,1298,2,2,469.19578740467676,234.59789370233838,2,2,,,1,FIRE,False,after_life_loss,
2596,dqn,13,,,2.0,2.0,0.6794250000000001,9.092420077649876e-05,0.06853808462619781,0.07464541494846344,0.0633419081568718,0.05712246149778366,0.057499226182699203,0.012974045239388943,0.01725926250219345,0.011932041496038437,2596,10000,0.2596,469.19064849058526,469.19064849058526,400,True,6,2500,0.0,0.0,1,FIRE,greedy,515,797,712,572,2072,524,0.7981510015408321,1,1298,2,2,469.19064849058526,234.59532424529263,2,2,,,1,FIRE,False,,
2639,dqn,14,0.0,122,0.0,0.0,0.67577,,,,,,,,,,2640,10000,0.264,468.6847153465222,468.6847153465222,411,True,6,2500,0.0,0.0,2,RIGHT,greedy,524,808,720,588,2100,540,0.7954545454545454,0,1320,2,2,468.6847153465222,234.3423576732611,2,2,,,2,RIGHT,False,,
2672,dqn,15,2.0,198,0.0,0.0,0.672965,,,,,,,,,,2672,10000,0.2672,467.98275491213974,467.98275491213974,419,True,6,2500,0.0,0.0,1,FIRE,random,528,821,734,589,2121,551,0.7937874251497006,1,1336,2,2,467.98275491213974,233.99137745606987,2,2,,,1,FIRE,False,,
2945,dqn,16,1.0,153,0.0,0.0,0.6497600000000001,,,,,,,,,,2946,10000,0.2946,464.88384814772235,464.88384814772235,487,False,6,2500,0.0,0.0,1,FIRE,greedy,580,914,801,651,2304,642,0.7820773930753564,0,1473,2,2,464.88384814772235,232.44192407386117,2,2,,,1,FIRE,False,,
2995,dqn,16,,,0.0,0.0,0.64551,0.014984489418566227,0.06801946461200714,0.08272009342908859,0.05581440404057503,0.08828365802764893,1.0573163032531738,0.044392749667167664,0.9748455882072449,0.028131108731031418,2996,10000,0.2996,463.781957346355,463.781957346355,500,True,6,2500,0.0,0.0,1,FIRE,random,589,937,812,658,2342,654,0.7817089452603472,0,1498,2,2,463.781957346355,231.8909786731775,2,2,,,1,FIRE,False,,
2996,dqn,16,,,1.0,1.0,0.645425,0.014984489418566227,0.06801946461200714,0.08272009342908859,0.05581440404057503,0.08828365802764893,1.0573163032531738,0.044392749667167664,0.9748455882072449,0.028131108731031418,2996,10000,0.2996,463.778015904837,463.778015904837,500,True,6,2500,0.0,0.0,1,FIRE,random,589,937,812,658,2342,654,0.7817089452603472,1,1498,2,2,463.778015904837,231.8890079524185,2,2,,,1,FIRE,False,,
3072,dqn,17,2.0,200,0.0,0.0,0.638965,,,,,,,,,,3072,10000,0.3072,462.26918856210455,462.26918856210455,519,True,7,3000,0.0,0.0,3,LEFT,random,604,983,820,665,2383,689,0.7757161458333334,1,1536,2,2,462.26918856210455,231.13459428105227,2,2,,,3,LEFT,False,,
3249,dqn,18,1.0,152,0.0,0.0,0.62392,,,,,,,,,,3250,10000,0.325,459.23599464749077,459.23599464749077,563,False,7,3000,0.0,0.0,1,FIRE,random,660,1013,886,691,2496,754,0.768,0,1625,2,2,459.23599464749077,229.61799732374539,2,2,,,1,FIRE,False,,
3395,dqn,18,,,0.0,0.0,0.61151,0.015244534239172935,0.09375575184822083,0.10320790112018585,0.08500020951032639,0.11379900574684143,1.0831232070922852,0.039407599717378616,0.9860299229621887,0.040231771767139435,3396,10000,0.3396,456.5959315871396,456.5959315871396,600,True,7,3000,0.0,0.0,3,LEFT,random,675,1047,926,748,2588,808,0.7620730270906949,0,1698,2,2,456.5959315871396,228.2979657935698,2,2,,,3,LEFT,False,,
3396,dqn,18,,,2.0,2.0,0.611425,0.015244534239172935,0.09375575184822083,0.10320790112018585,0.08500020951032639,0.11379900574684143,1.0831232070922852,0.039407599717378616,0.9860299229621887,0.040231771767139435,3396,10000,0.3396,456.5919290037645,456.5919290037645,600,True,7,3000,0.0,0.0,1,FIRE,random,675,1047,926,748,2588,808,0.7620730270906949,1,1698,2,2,456.5919290037645,228.29596450188225,2,2,,,1,FIRE,False,,
3470,dqn,19,2.0,199,0.0,0.0,0.605135,,,,,,,,,,3470,10000,0.347,453.8219491724373,453.8219491724373,618,False,7,3000,0.0,0.0,3,LEFT,greedy,700,1059,932,779,2625,845,0.7564841498559077,1,1735,2,2,453.8219491724373,226.91097458621866,2,2,,,3,LEFT,False,,
3499,dqn,20,0.0,125,0.0,0.0,0.60267,,,,,,,,,,3500,10000,0.35,452.68684581375146,452.68684581375146,626,True,8,3500,0.0,0.0,3,LEFT,random,703,1065,946,786,2640,860,0.7542857142857143,0,1750,2,2,452.68684581375146,226.34342290687573,2,2,,,3,LEFT,False,,
3795,dqn,20,,,1.0,1.0,0.57751,3.156709863105789e-05,0.09363725036382675,0.10860494524240494,0.08235515654087067,0.09376907348632812,0.09533066302537918,0.006837057881057262,0.013489440083503723,0.004587997682392597,3796,10000,0.3796,444.90980520628904,444.90980520628904,700,True,8,3500,0.0,0.0,2,RIGHT,random,758,1175,1018,845,2808,988,0.7397260273972602,0,1898,2,2,444.90980520628904,222.45490260314452,2,2,,,2,RIGHT,False,,
3796,dqn,20,,,2.0,2.0,0.5774250000000001,3.156709863105789e-05,0.09363725036382675,0.10860494524240494,0.08235515654087067,0.09376907348632812,0.09533066302537918,0.006837057881057262,0.013489440083503723,0.004587997682392597,3796,10000,0.3796,444.90663477594717,444.90663477594717,700,True,8,3500,0.0,0.0,1,FIRE,random,758,1175,1018,845,2808,988,0.7397260273972602,1,1898,2,2,444.90663477594717,222.45331738797358,2,2,,,1,FIRE,False,,
3837,dqn,21,1.0,169,0.0,0.0,0.5739400000000001,,,,,,,,,,3838,10000,0.3838,443.65769762930427,443.65769762930427,710,False,8,3500,0.0,0.0,0,NOOP,random,776,1181,1024,857,2836,1002,0.7389265242313705,0,1919,2,2,443.65769762930427,221.82884881465213,2,2,,,0,NOOP,False,,
4062,dqn,22,4.0,296,0.0,0.0,0.5548150000000001,,,,,,,,,,4062,10000,0.4062,440.9947791262456,440.9947791262456,766,False,9,4000,0.0,0.0,1,FIRE,greedy,806,1243,1107,906,2961,1101,0.7289512555391433,1,2031,2,2,440.9947791262456,220.4973895631228,2,2,,,1,FIRE,False,,
4195,dqn,22,,,3.0,3.0,0.54351,0.00031405233312398195,0.14373792707920074,0.17539188265800476,0.12018825858831406,0.12050631642341614,0.12303496152162552,0.02066226303577423,0.052419714629650116,0.02738765999674797,4196,10000,0.4196,438.3321003994569,438.3321003994569,800,True,9,4000,0.0,0.0,1,FIRE,fire_reset,835,1279,1120,962,3034,1162,0.723069590085796,0,2098,2,2,438.3321003994569,219.16605019972846,2,2,,,0,NOOP,True,after_life_loss,
4196,dqn,22,,,1.0,1.0,0.543425,0.00031405233312398195,0.14373792707920074,0.17539188265800476,0.12018825858831406,0.12050631642341614,0.12303496152162552,0.02066226303577423,0.052419714629650116,0.02738765999674797,4196,10000,0.4196,438.3294079514891,438.3294079514891,800,True,9,4000,0.0,0.0,0,NOOP,greedy,835,1279,1120,962,3034,1162,0.723069590085796,1,2098,2,2,438.3294079514891,219.16470397574454,2,2,,,0,NOOP,False,,
4291,dqn,23,3.0,227,0.0,0.0,0.53535,,,,,,,,,,4292,10000,0.4292,436.6168008683032,436.6168008683032,824,True,9,4000,0.0,0.0,1,FIRE,random,857,1326,1134,975,3090,1202,0.7199440820130475,0,2146,2,2,436.6168008683032,218.3084004341516,2,2,,,1,FIRE,False,,
4496,dqn,24,2.0,217,0.0,0.0,0.517925,,,,,,,,,,4496,10000,0.4496,429.7389237570962,429.7389237570962,875,True,9,4000,0.0,0.0,0,NOOP,greedy,909,1393,1166,1028,3211,1285,0.7141903914590747,1,2248,2,2,429.7389237570962,214.8694618785481,2,2,,,0,NOOP,False,,
4595,dqn,24,,,2.0,2.0,0.5095100000000001,0.0004111190210096538,0.15330630540847778,0.16614459455013275,0.12868912518024445,0.12824112176895142,0.1315484493970871,0.027411026880145073,0.034644290804862976,0.03689086437225342,4596,10000,0.4596,426.98074612019315,426.98074612019315,900,True,10,4500,0.0,0.0,1,FIRE,fire_reset,931,1442,1182,1041,3255,1341,0.70822454308094,0,2298,2,2,426.98074612019315,213.49037306009657,2,2,,,1,FIRE,False,after_life_loss,
4596,dqn,24,,,0.0,0.0,0.509425,0.0004111190210096538,0.15330630540847778,0.16614459455013275,0.12868912518024445,0.12824112176895142,0.1315484493970871,0.027411026880145073,0.034644290804862976,0.03689086437225342,4596,10000,0.4596,426.9780923732288,426.9780923732288,900,True,10,4500,0.0,0.0,1,FIRE,random,931,1442,1182,1041,3255,1341,0.70822454308094,1,2298,2,2,426.9780923732288,213.4890461866144,2,2,,,1,FIRE,False,,
