global_step,algorithm,architecture,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,action_inference_transitions_per_second,replay_insertion_calls_per_second,replay_insertion_transitions_per_second,optimizer_updates_per_second,training_samples_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
501195,double_dqn,standard,1198,,,18.0,15.0,0.05,0.0033252285793423653,2.3951027393341064,3.208467483520508,1.4958361387252808,2.4150495529174805,3.1623611450195312,0.060834046453237534,0.19448351860046387,0.2136252224445343,1196,10000,0.1196,508.35279754186774,508.35279754186774,124300,True,1003,501000,0.0,0.0,0,NOOP,greedy,98316,127118,123833,151929,29232,471964,0.058324487825122305,0,250598,2,2,508.35279754186774,254.17639877093387,2,2,254.17639877093387,508.35279754186774,254.17639877093387,508.35279754186774,20.82716310999291,666.4692195197731,0,NOOP,False,,
501196,double_dqn,standard,1198,,,23.0,17.0,0.05,0.0033252285793423653,2.3951027393341064,3.208467483520508,1.4958361387252808,2.4150495529174805,3.1623611450195312,0.060834046453237534,0.19448351860046387,0.2136252224445343,1196,10000,0.1196,508.33732721306836,508.33732721306836,124300,True,1003,501000,0.0,0.0,3,LEFT,greedy,98316,127118,123833,151929,29232,471964,0.058324487825122305,1,250598,2,2,508.33732721306836,254.16866360653418,2,2,254.16866360653418,508.33732721306836,254.16866360653418,508.33732721306836,20.826529292174204,666.4489373495745,3,LEFT,False,,
501566,double_dqn,standard,1199,32.0,865,0.0,0.0,0.05,,,,,,,,,,1566,10000,0.1566,466.4611457643489,466.4611457643489,124392,False,1004,501500,0.0,0.0,0,NOOP,greedy,98444,127208,123947,151967,29253,472313,0.058323331326286074,1,250783,2,2,466.4611457643489,233.23057288217444,2,2,233.23057288217444,466.4611457643489,233.23057288217444,466.4611457643489,41.999375193341756,1343.9800061869362,0,NOOP,False,,
501595,double_dqn,standard,1199,,,24.0,18.0,0.05,0.006818801164627075,2.110680103302002,3.298990488052368,-0.15664243698120117,2.1575064659118652,3.325516700744629,0.04735390841960907,0.621367335319519,0.3662559688091278,1596,10000,0.1596,460.7963369250549,460.7963369250549,124400,True,1004,501500,0.0,0.0,1,FIRE,greedy,98445,127212,123960,151979,29254,472342,0.05832183669726234,0,250798,2,2,460.7963369250549,230.39816846252745,2,2,230.39816846252745,460.7963369250549,230.39816846252745,460.7963369250549,43.01920689337919,1376.6146205881341,1,FIRE,False,,
501596,double_dqn,standard,1199,,,0.0,0.0,0.05,0.006818801164627075,2.110680103302002,3.298990488052368,-0.15664243698120117,2.1575064659118652,3.325516700744629,0.04735390841960907,0.621367335319519,0.3662559688091278,1596,10000,0.1596,460.7842438106783,460.7842438106783,124400,True,1004,501500,0.0,0.0,1,FIRE,random,98445,127212,123960,151979,29254,472342,0.05832183669726234,1,250798,2,2,460.7842438106783,230.39212190533914,2,2,230.39212190533914,460.7842438106783,230.39212190533914,460.7842438106783,43.01807789961846,1376.5784927877908,1,FIRE,False,,
501803,double_dqn,standard,1200,30.0,940,0.0,0.0,0.05,,,,,,,,,,1804,10000,0.1804,438.37743682082447,438.37743682082447,124452,True,1004,501500,0.0,0.0,3,LEFT,greedy,98479,127283,123998,152044,29271,472533,0.058331539804385775,0,250902,2,2,438.37743682082447,219.18871841041224,2,2,219.18871841041224,438.37743682082447,219.18871841041224,438.37743682082447,48.84360576551315,1562.995384496421,3,LEFT,False,,
501995,double_dqn,standard,1200,,,2.0,2.0,0.05,0.004300630651414394,2.056464195251465,3.317927837371826,0.5960942506790161,2.0337541103363037,3.267176628112793,0.07356393337249756,0.2538926601409912,0.5511754751205444,1996,10000,0.1996,426.4136965347066,426.4136965347066,124500,True,1004,501500,0.0,0.0,1,FIRE,random,98526,127374,124028,152068,29280,472716,0.05832715798532259,0,250998,2,2,426.4136965347066,213.2068482673533,2,2,213.2068482673533,426.4136965347066,213.2068482673533,426.4136965347066,53.194895008588155,1702.236640274821,1,FIRE,False,,
501996,double_dqn,standard,1200,,,3.0,3.0,0.05,0.004300630651414394,2.056464195251465,3.317927837371826,0.5960942506790161,2.0337541103363037,3.267176628112793,0.07356393337249756,0.2538926601409912,0.5511754751205444,1996,10000,0.1996,426.40652735807816,426.40652735807816,124500,True,1004,501500,0.0,0.0,0,NOOP,greedy,98526,127374,124028,152068,29280,472716,0.05832715798532259,1,250998,2,2,426.40652735807816,213.20326367903908,2,2,213.20326367903908,426.40652735807816,213.20326367903908,426.40652735807816,53.19400065739552,1702.2080210366566,0,NOOP,False,,
502395,double_dqn,standard,1200,,,6.0,6.0,0.05,0.0037671509198844433,1.9503947496414185,3.034337043762207,-0.3791596293449402,1.952032208442688,3.076676845550537,0.059350162744522095,0.2915034294128418,0.3517891764640808,2396,10000,0.2396,415.7211800499543,415.7211800499543,124600,True,1005,502000,0.0,0.0,3,LEFT,greedy,98671,127466,124112,152147,29306,473090,0.058332470799926754,0,251198,2,2,415.7211800499543,207.86059002497714,2,2,207.86059002497714,415.7211800499543,207.86059002497714,415.7211800499543,60.55371111745995,1937.7187557587183,3,LEFT,False,,
502396,double_dqn,standard,1200,,,7.0,7.0,0.05,0.0037671509198844433,1.9503947496414185,3.034337043762207,-0.3791596293449402,1.952032208442688,3.076676845550537,0.059350162744522095,0.2915034294128418,0.3517891764640808,2396,10000,0.2396,415.7158641193811,415.7158641193811,124600,True,1005,502000,0.0,0.0,3,LEFT,greedy,98671,127466,124112,152147,29306,473090,0.058332470799926754,1,251198,2,2,415.7158641193811,207.85793205969054,2,2,207.85793205969054,415.7158641193811,207.85793205969054,415.7158641193811,60.55293680203005,1937.6939776649615,3,LEFT,False,,
502750,double_dqn,standard,1201,12.0,592,0.0,0.0,0.05,,,,,,,,,,2750,10000,0.275,406.7554537426033,406.7554537426033,124688,False,1006,502500,0.0,0.0,2,RIGHT,greedy,98727,127580,124205,152238,29322,473428,0.05832322227747389,1,251375,2,2,406.7554537426033,203.37772687130166,2,2,203.37772687130166,406.7554537426033,203.37772687130166,406.7554537426033,64.63713937655187,2068.38846004966,2,RIGHT,False,,
502795,double_dqn,standard,1201,,,10.0,10.0,0.05,0.003849795088171959,2.079446315765381,3.5368268489837646,0.0038587749004364014,2.091407299041748,3.481401205062866,0.04975295811891556,0.4206850528717041,0.17540571093559265,2796,10000,0.2796,405.8135490506125,405.8135490506125,124700,True,1006,502500,0.0,0.0,2,RIGHT,random,98735,127590,124217,152254,29328,473468,0.05832981964852545,0,251398,2,2,405.8135490506125,202.90677452530625,2,2,202.90677452530625,405.8135490506125,202.90677452530625,405.8135490506125,65.1681986851663,2085.3823579253217,2,RIGHT,False,,
502796,double_dqn,standard,1201,,,0.0,0.0,0.05,0.003849795088171959,2.079446315765381,3.5368268489837646,0.0038587749004364014,2.091407299041748,3.481401205062866,0.04975295811891556,0.4206850528717041,0.17540571093559265,2796,10000,0.2796,405.80915515955826,405.80915515955826,124700,True,1006,502500,0.0,0.0,3,LEFT,greedy,98735,127590,124217,152254,29328,473468,0.05832981964852545,1,251398,2,2,405.80915515955826,202.90457757977913,2,2,202.90457757977913,405.80915515955826,202.90457757977913,405.80915515955826,65.1674930853511,2085.359778731235,3,LEFT,False,,
503143,double_dqn,standard,1202,18.0,670,0.0,0.0,0.05,,,,,,,,,,3144,10000,0.3144,400.3252413439656,400.3252413439656,124787,True,1007,503000,0.0,0.0,0,NOOP,greedy,98846,127682,124300,152316,29345,473799,0.05832326332024232,0,251572,2,2,400.3252413439656,200.1626206719828,2,2,200.1626206719828,400.3252413439656,200.1626206719828,400.3252413439656,68.24883249375495,2183.9626398001583,0,NOOP,False,,
503195,double_dqn,standard,1202,,,0.0,0.0,0.05,0.002396663650870323,1.9821088314056396,3.115327835083008,0.16776973009109497,1.9729470014572144,3.056579113006592,0.038422562181949615,0.32578974962234497,0.2178071141242981,3196,10000,0.3196,399.63502668928237,399.63502668928237,124800,True,1007,503000,0.0,0.0,1,FIRE,greedy,98851,127702,124314,152329,29350,473846,0.05832717271202474,0,251598,2,2,399.63502668928237,199.81751334464118,2,2,199.81751334464118,399.63502668928237,199.81751334464118,399.63502668928237,68.6481945095169,2196.7422243045407,1,FIRE,False,,
503196,double_dqn,standard,1202,,,4.0,4.0,0.05,0.002396663650870323,1.9821088314056396,3.115327835083008,0.16776973009109497,1.9729470014572144,3.056579113006592,0.038422562181949615,0.32578974962234497,0.2178071141242981,3196,10000,0.3196,399.63086912675226,399.63086912675226,124800,True,1007,503000,0.0,0.0,3,LEFT,greedy,98851,127702,124314,152329,29350,473846,0.05832717271202474,1,251598,2,2,399.63086912675226,199.81543456337613,2,2,199.81543456337613,399.63086912675226,199.81543456337613,399.63086912675226,68.64748033497716,2196.719370719269,3,LEFT,False,,
503595,double_dqn,standard,1202,,,4.0,4.0,0.05,0.004727634601294994,2.1010069847106934,3.047295570373535,1.2686829566955566,2.0996599197387695,3.0479958057403564,0.05670653656125069,0.3298983573913574,0.5146868824958801,3596,10000,0.3596,395.839349768999,395.839349768999,124900,True,1008,503500,0.0,0.0,3,LEFT,greedy,98940,127816,124426,152414,29366,474230,0.058312615668114916,0,251798,2,2,395.839349768999,197.9196748844995,2,2,197.9196748844995,395.839349768999,197.9196748844995,395.839349768999,71.44041657399342,2286.0933303677893,3,LEFT,False,,
503596,double_dqn,standard,1202,,,10.0,10.0,0.05,0.004727634601294994,2.1010069847106934,3.047295570373535,1.2686829566955566,2.0996599197387695,3.0479958057403564,0.05670653656125069,0.3298983573913574,0.5146868824958801,3596,10000,0.3596,395.836125393327,395.836125393327,124900,True,1008,503500,0.0,0.0,3,LEFT,greedy,98940,127816,124426,152414,29366,474230,0.058312615668114916,1,251798,2,2,395.836125393327,197.9180626966635,2,2,197.9180626966635,395.836125393327,197.9180626966635,395.836125393327,71.4398346441238,2286.074708611962,3,LEFT,False,,
503995,double_dqn,standard,1202,,,9.0,9.0,0.05,0.0013726449105888605,2.3649888038635254,3.1352481842041016,1.30402410030365,2.3933284282684326,3.078031301498413,0.04288313910365105,0.12057709693908691,0.16211654245853424,3996,10000,0.3996,393.339571974655,393.339571974655,125000,True,1008,503500,0.0,0.0,2,RIGHT,greedy,99059,127929,124513,152495,29380,474616,0.058294113445344804,0,251998,2,2,393.339571974655,196.6697859873275,2,2,196.6697859873275,393.339571974655,196.6697859873275,393.339571974655,73.72656141366782,2359.2499652373704,2,RIGHT,False,,
503996,double_dqn,standard,1202,,,16.0,13.0,0.05,0.0013726449105888605,2.3649888038635254,3.1352481842041016,1.30402410030365,2.3933284282684326,3.078031301498413,0.04288313910365105,0.12057709693908691,0.16211654245853424,3996,10000,0.3996,393.33626937804934,393.33626937804934,125000,True,1008,503500,0.0,0.0,1,FIRE,random,99059,127929,124513,152495,29380,474616,0.058294113445344804,1,251998,2,2,393.33626937804934,196.66813468902467,2,2,196.66813468902467,393.33626937804934,196.66813468902467,393.33626937804934,73.72594238342316,2359.230156269541,1,FIRE,False,,
504298,double_dqn,standard,1203,27.0,774,0.0,0.0,0.05,,,,,,,,,,4298,10000,0.4298,391.1905027433128,391.1905027433128,125075,False,1009,504000,0.0,0.0,0,NOOP,greedy,99169,127983,124580,152566,29393,474905,0.05828498229221611,1,252149,2,2,391.1905027433128,195.5952513716564,2,2,195.5952513716564,391.1905027433128,195.5952513716564,391.1905027433128,74.99790001407392,2399.9328004503654,0,NOOP,False,,
504395,double_dqn,standard,1203,,,14.0,14.0,0.05,0.0015147741651162505,2.3161792755126953,3.3601179122924805,1.3090696334838867,2.322843313217163,3.3498404026031494,0.031095851212739944,0.2382601499557495,0.14090539515018463,4396,10000,0.4396,389.8660337478876,389.8660337478876,125100,True,1009,504000,0.0,0.0,0,NOOP,greedy,99204,127994,124603,152595,29397,474999,0.058281588275878475,0,252198,2,2,389.8660337478876,194.9330168739438,2,2,194.9330168739438,389.8660337478876,194.9330168739438,389.8660337478876,75.2948732147308,2409.4359428713856,0,NOOP,False,,
504396,double_dqn,standard,1203,,,1.0,1.0,0.05,0.0015147741651162505,2.3161792755126953,3.3601179122924805,1.3090696334838867,2.322843313217163,3.3498404026031494,0.031095851212739944,0.2382601499557495,0.14090539515018463,4396,10000,0.4396,389.86320891839716,389.86320891839716,125100,True,1009,504000,0.0,0.0,2,RIGHT,greedy,99204,127994,124603,152595,29397,474999,0.058281588275878475,1,252198,2,2,389.86320891839716,194.93160445919858,2,2,194.93160445919858,389.86320891839716,194.93160445919858,389.86320891839716,75.29432765507715,2409.418484962469,2,RIGHT,False,,
504419,double_dqn,standard,1204,14.0,638,0.0,0.0,0.05,,,,,,,,,,4420,10000,0.442,389.67696352703626,389.67696352703626,125106,True,1009,504000,0.0,0.0,0,NOOP,greedy,99214,128000,124607,152599,29398,475022,0.05828079774790849,0,252210,2,2,389.67696352703626,194.83848176351813,2,2,194.83848176351813,389.67696352703626,194.83848176351813,389.67696352703626,75.37868864606696,2412.118036674143,0,NOOP,False,,
504795,double_dqn,standard,1204,,,3.0,3.0,0.05,0.0008349433192051947,2.3369946479797363,3.222439765930176,1.2308260202407837,2.3473401069641113,3.240460157394409,0.02961088716983795,0.09296083450317383,0.10474540293216705,4796,10000,0.4796,385.36986845828727,385.36986845828727,125200,True,1010,504500,0.0,0.0,1,FIRE,greedy,99282,128125,124681,152708,29419,475377,0.05827898794760656,0,252398,2,2,385.36986845828727,192.68493422914364,2,2,192.68493422914364,385.36986845828727,192.68493422914364,385.36986845828727,76.25437972621239,2440.1401512387965,1,FIRE,False,,
