global_step,algorithm,architecture,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,action_inference_transitions_per_second,replay_insertion_calls_per_second,replay_insertion_transitions_per_second,optimizer_updates_per_second,training_samples_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
341,double_dqn,dueling,1,1.0,171,0.0,0.0,0.8711,,,,,,,,,,342,10000,0.0342,227.81079554970316,227.81079554970316,0,False,1,0,0.0,0.0,3,LEFT,greedy,87,86,73,96,306,36,0.8947368421052632,0,171,2,2,227.81079554970316,113.90539777485158,2,2,113.90539777485158,227.81079554970316,113.90539777485158,227.81079554970316,0.0,0.0,3,LEFT,False,,
362,double_dqn,dueling,2,2.0,181,0.0,0.0,0.8693150000000001,,,,,,,,,,362,10000,0.0362,235.32530570904103,235.32530570904103,0,False,1,0,0.0,0.0,3,LEFT,greedy,91,91,75,105,321,41,0.8867403314917127,1,181,2,2,235.32530570904103,117.66265285452052,2,2,117.66265285452052,235.32530570904103,117.66265285452052,235.32530570904103,0.0,0.0,3,LEFT,False,,
687,double_dqn,dueling,3,1.0,173,0.0,0.0,0.84169,,,,,,,,,,688,10000,0.0688,335.5556743437926,335.5556743437926,0,False,2,500,0.0,0.0,0,NOOP,random,174,172,139,203,604,84,0.877906976744186,0,344,2,2,335.5556743437926,167.7778371718963,2,2,167.7778371718963,335.5556743437926,167.7778371718963,335.5556743437926,0.0,0.0,0,NOOP,False,,
790,double_dqn,dueling,4,3.0,214,0.0,0.0,0.832935,,,,,,,,,,790,10000,0.079,353.0523340498276,353.0523340498276,0,False,2,500,0.0,0.0,1,FIRE,random,186,198,162,244,689,101,0.8721518987341772,1,395,2,2,353.0523340498276,176.5261670249138,2,2,176.5261670249138,353.0523340498276,176.5261670249138,353.0523340498276,0.0,0.0,1,FIRE,False,,
991,double_dqn,dueling,5,1.0,152,0.0,0.0,0.81585,,,,,,,,,,992,10000,0.0992,387.8082772939541,387.8082772939541,0,False,2,500,0.0,0.0,3,LEFT,greedy,224,247,196,325,857,135,0.8639112903225806,0,496,2,2,387.8082772939541,193.90413864697706,2,2,193.90413864697706,387.8082772939541,193.90413864697706,387.8082772939541,0.0,0.0,3,LEFT,False,,
1036,double_dqn,dueling,6,0.0,123,0.0,0.0,0.812025,,,,,,,,,,1036,10000,0.1036,346.4206090551481,346.4206090551481,10,True,3,1000,0.0,0.0,3,LEFT,random,237,265,199,335,889,147,0.8581081081081081,1,518,2,2,346.4206090551481,173.21030452757404,2,2,173.21030452757404,346.4206090551481,173.21030452757404,346.4206090551481,3.3438282727330892,107.00250472745886,3,LEFT,False,,
1284,double_dqn,dueling,7,0.0,124,0.0,0.0,0.790945,,,,,,,,,,1284,10000,0.1284,347.36640400202526,347.36640400202526,72,True,3,1000,0.0,0.0,1,FIRE,random,291,331,248,414,1083,201,0.8434579439252337,1,642,2,2,347.36640400202526,173.68320200101263,2,2,173.68320200101263,347.36640400202526,173.68320200101263,347.36640400202526,19.4784899440388,623.3116782092416,1,FIRE,False,,
1301,double_dqn,dueling,8,1.0,155,0.0,0.0,0.7895,,,,,,,,,,1302,10000,0.1302,346.5444672448086,346.5444672448086,76,False,3,1000,0.0,0.0,1,FIRE,random,293,340,252,417,1097,205,0.8425499231950845,0,651,2,2,346.5444672448086,173.2722336224043,2,2,173.2722336224043,346.5444672448086,173.2722336224043,346.5444672448086,20.228402081878226,647.3088666201032,1,FIRE,False,,
1395,double_dqn,dueling,8,,,0.0,0.0,0.78151,0.00032184208976104856,0.009158944711089134,0.018676917999982834,0.00043922383338212967,-0.013018207624554634,-0.012511531822383404,0.0240999273955822,0.031840912997722626,0.030043626204133034,1396,10000,0.1396,344.1985252208075,344.1985252208075,100,True,3,1000,0.0,0.0,2,RIGHT,random,318,371,270,437,1176,220,0.8424068767908309,0,698,2,2,344.1985252208075,172.09926261040374,2,2,172.09926261040374,344.1985252208075,172.09926261040374,344.1985252208075,24.65605481524409,788.9937540878109,2,RIGHT,False,,
1396,double_dqn,dueling,8,,,0.0,0.0,0.781425,0.00032184208976104856,0.009158944711089134,0.018676917999982834,0.00043922383338212967,-0.013018207624554634,-0.012511531822383404,0.0240999273955822,0.031840912997722626,0.030043626204133034,1396,10000,0.1396,344.19177852180246,344.19177852180246,100,True,3,1000,0.0,0.0,2,RIGHT,random,318,371,270,437,1176,220,0.8424068767908309,1,698,2,2,344.19177852180246,172.09588926090123,2,2,172.09588926090123,344.19177852180246,172.09588926090123,344.19177852180246,24.65557152734975,788.978288875192,2,RIGHT,False,,
