global_step,algorithm,architecture,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,action_inference_transitions_per_second,replay_insertion_calls_per_second,replay_insertion_transitions_per_second,optimizer_updates_per_second,training_samples_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
501037,double_dqn,dueling,1151,14.0,724,0.0,0.0,0.05,,,,,,,,,,1038,10000,0.1038,547.392654852397,547.392654852397,124260,False,1003,501000,0.0,0.0,1,FIRE,greedy,116452,119238,130167,135181,29227,471811,0.0583329008977363,0,250519,2,2,547.392654852397,273.6963274261985,2,2,273.6963274261985,547.392654852397,273.6963274261985,547.392654852397,4.74617908831558,151.87773082609857,1,FIRE,False,,
501195,double_dqn,dueling,1151,,,2.0,2.0,0.05,0.0015390280168503523,2.1774513721466064,3.0485007762908936,-0.1841762363910675,2.2223289012908936,3.114727258682251,0.04238400608301163,0.1496148258447647,0.4193490147590637,1196,10000,0.1196,500.3079026863509,500.3079026863509,124300,True,1003,501000,1.0,1.0,1,FIRE,greedy,116503,119293,130201,135199,29232,471964,0.058324487825122305,0,250598,2,2,500.3079026863509,250.15395134317544,2,2,250.15395134317544,500.3079026863509,250.15395134317544,500.3079026863509,20.49756457494247,655.922066398159,1,FIRE,False,,
501196,double_dqn,dueling,1151,,,31.0,31.0,0.05,0.0015390280168503523,2.1774513721466064,3.0485007762908936,-0.1841762363910675,2.2223289012908936,3.114727258682251,0.04238400608301163,0.1496148258447647,0.4193490147590637,1196,10000,0.1196,500.292122874565,500.292122874565,124300,True,1003,501000,0.0,0.0,2,RIGHT,greedy,116503,119293,130201,135199,29232,471964,0.058324487825122305,1,250598,2,2,500.292122874565,250.1460614372825,2,2,250.1460614372825,500.292122874565,250.1460614372825,500.292122874565,20.49691807763686,655.9013784843795,2,RIGHT,False,,
501595,double_dqn,dueling,1151,,,4.0,4.0,0.05,0.0006541248294524848,2.1950085163116455,3.19832706451416,0.9191542267799377,2.2034716606140137,3.2091281414031982,0.029000544920563698,0.09605598449707031,0.14923402667045593,1596,10000,0.1596,437.4920608523044,437.4920608523044,124400,True,1004,501500,0.0,0.0,1,FIRE,greedy,116596,119457,130262,135281,29254,472342,0.05832183669726234,0,250798,2,2,437.4920608523044,218.7460304261522,2,2,218.7460304261522,437.4920608523044,218.7460304261522,437.4920608523044,40.84355705951965,1306.9938259046287,1,FIRE,False,,
501596,double_dqn,dueling,1151,,,39.0,36.0,0.05,0.0006541248294524848,2.1950085163116455,3.19832706451416,0.9191542267799377,2.2034716606140137,3.2091281414031982,0.029000544920563698,0.09605598449707031,0.14923402667045593,1596,10000,0.1596,437.4827669096794,437.4827669096794,124400,True,1004,501500,0.0,0.0,1,FIRE,random,116596,119457,130262,135281,29254,472342,0.05832183669726234,1,250798,2,2,437.4827669096794,218.7413834548397,2,2,218.7413834548397,437.4827669096794,218.7413834548397,437.4827669096794,40.84268939194376,1306.9660605422002,1,FIRE,False,,
501782,double_dqn,dueling,1152,44.0,1546,0.0,0.0,0.05,,,,,,,,,,1782,10000,0.1782,421.50146626439215,421.50146626439215,124446,False,1004,501500,0.0,0.0,1,FIRE,greedy,116665,119523,130288,135306,29267,472515,0.0583261256880478,1,250891,2,2,421.50146626439215,210.75073313219607,2,2,210.75073313219607,421.50146626439215,210.75073313219607,421.50146626439215,46.123897823544596,1475.964730353427,1,FIRE,False,,
501995,double_dqn,dueling,1152,,,8.0,8.0,0.05,0.0014262690674513578,2.3563685417175293,3.0676231384277344,1.4427382946014404,2.3547022342681885,3.0881857872009277,0.04001525416970253,0.17568063735961914,0.26295945048332214,1996,10000,0.1996,406.1632464386952,406.1632464386952,124500,True,1004,501500,0.0,0.0,1,FIRE,random,116717,119603,130325,135351,29280,472716,0.05832715798532259,0,250998,2,2,406.1632464386952,203.0816232193476,2,2,203.0816232193476,406.1632464386952,203.0816232193476,406.1632464386952,50.668661504626805,1621.3971681480577,1,FIRE,False,,
501996,double_dqn,dueling,1152,,,2.0,2.0,0.05,0.0014262690674513578,2.3563685417175293,3.0676231384277344,1.4427382946014404,2.3547022342681885,3.0881857872009277,0.04001525416970253,0.17568063735961914,0.26295945048332214,1996,10000,0.1996,406.15618829030217,406.15618829030217,124500,True,1004,501500,0.0,0.0,0,NOOP,greedy,116717,119603,130325,135351,29280,472716,0.05832715798532259,1,250998,2,2,406.15618829030217,203.07809414515108,2,2,203.07809414515108,406.15618829030217,203.07809414515108,406.15618829030217,50.667781004150925,1621.3689921328296,0,NOOP,False,,
502021,double_dqn,dueling,1153,8.0,492,0.0,0.0,0.05,,,,,,,,,,2022,10000,0.2022,404.6805569245412,404.6805569245412,124506,False,1005,502000,0.0,0.0,1,FIRE,greedy,116723,119610,130334,135355,29283,472739,0.05833011302293525,0,251011,2,2,404.6805569245412,202.3402784622706,2,2,202.3402784622706,404.6805569245412,202.3402784622706,404.6805569245412,51.0353818079911,1633.1322178557152,1,FIRE,False,,
502395,double_dqn,dueling,1153,,,4.0,4.0,0.05,0.0005461320397444069,2.1159238815307617,3.1220059394836426,0.8004664182662964,2.1444408893585205,3.1347174644470215,0.024394748732447624,0.12289571762084961,0.14306141436100006,2396,10000,0.2396,386.5641529398094,386.5641529398094,124600,True,1005,502000,0.0,0.0,0,NOOP,greedy,116834,119707,130416,135439,29306,473090,0.058332470799926754,0,251198,2,2,386.5641529398094,193.2820764699047,2,2,193.2820764699047,386.5641529398094,193.2820764699047,386.5641529398094,56.30671509849477,1801.8148831518326,0,NOOP,False,,
