global_step,algorithm,architecture,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,action_inference_transitions_per_second,replay_insertion_calls_per_second,replay_insertion_transitions_per_second,optimizer_updates_per_second,training_samples_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
100713,double_dqn,dueling,411,11.0,576,0.0,0.0,0.05,,,,,,,,,,714,10000,0.0714,445.8885237266348,445.8885237266348,24751,False,202,100500,0.0,0.0,0,NOOP,greedy,26156,21120,29659,23779,9218,91496,0.09152650078439939,0,50357,2,2,445.8885237266348,222.9442618633174,2,2,222.9442618633174,445.8885237266348,222.9442618633174,445.8885237266348,0.0,0.0,0,NOOP,False,,
100990,double_dqn,dueling,412,15.0,861,0.0,0.0,0.05,,,,,,,,,,990,10000,0.099,481.2665535649302,481.2665535649302,24751,False,202,100500,0.0,0.0,0,NOOP,greedy,26272,21156,29726,23836,9230,91760,0.09139518764234082,1,50495,2,2,481.2665535649302,240.6332767824651,2,2,240.6332767824651,481.2665535649302,240.6332767824651,481.2665535649302,0.0,0.0,0,NOOP,False,,
101195,double_dqn,dueling,412,,,5.0,5.0,0.05,0.006202694959938526,1.7497081756591797,2.815875291824341,0.6883035898208618,1.7664101123809814,3.11283278465271,0.08016491681337357,0.29695749282836914,0.4209151864051819,1196,10000,0.1196,433.18843493240485,433.18843493240485,24800,True,203,101000,0.0,0.0,1,FIRE,greedy,26301,21238,29782,23875,9241,91955,0.091317838649749,0,50598,2,2,433.18843493240485,216.59421746620242,2,2,216.59421746620242,433.18843493240485,216.59421746620242,433.18843493240485,17.74768671545806,567.9259748946579,1,FIRE,False,,
101196,double_dqn,dueling,412,,,2.0,2.0,0.05,0.006202694959938526,1.7497081756591797,2.815875291824341,0.6883035898208618,1.7664101123809814,3.11283278465271,0.08016491681337357,0.29695749282836914,0.4209151864051819,1196,10000,0.1196,433.1761186419348,433.1761186419348,24800,True,203,101000,0.0,0.0,3,LEFT,greedy,26301,21238,29782,23875,9241,91955,0.091317838649749,1,50598,2,2,433.1761186419348,216.5880593209674,2,2,216.5880593209674,433.1761186419348,216.5880593209674,433.1761186419348,17.747182118273248,567.9098277847439,3,LEFT,False,,
101595,double_dqn,dueling,412,,,12.0,9.0,0.05,0.002215584274381399,1.6807900667190552,2.9053051471710205,0.6120865345001221,1.6797510385513306,2.874096155166626,0.048524923622608185,0.2441387176513672,0.3602766990661621,1596,10000,0.1596,388.8159953554855,388.8159953554855,24900,True,204,101500,0.0,0.0,2,RIGHT,greedy,26327,21356,29885,24028,9264,92332,0.09118469231072089,0,50798,2,2,388.8159953554855,194.40799767774274,2,2,194.40799767774274,388.8159953554855,194.40799767774274,388.8159953554855,36.29923766163367,1161.5756051722774,2,RIGHT,False,,
101596,double_dqn,dueling,412,,,6.0,6.0,0.05,0.002215584274381399,1.6807900667190552,2.9053051471710205,0.6120865345001221,1.6797510385513306,2.874096155166626,0.048524923622608185,0.2441387176513672,0.3602766990661621,1596,10000,0.1596,388.8085408202035,388.8085408202035,24900,True,204,101500,0.0,0.0,2,RIGHT,greedy,26327,21356,29885,24028,9264,92332,0.09118469231072089,1,50798,2,2,388.8085408202035,194.40427041010176,2,2,194.40427041010176,388.8085408202035,194.40427041010176,388.8085408202035,36.29854171817689,1161.5533349816606,2,RIGHT,False,,
101625,double_dqn,dueling,413,12.0,456,0.0,0.0,0.05,,,,,,,,,,1626,10000,0.1626,385.03726254940415,385.03726254940415,24907,False,204,101500,0.0,0.0,1,FIRE,greedy,26328,21367,29896,24035,9266,92360,0.09117745458839273,0,50813,2,2,385.03726254940415,192.51863127470207,2,2,192.51863127470207,385.03726254940415,192.51863127470207,385.03726254940415,36.940844377433606,1182.1070200778754,1,FIRE,False,,
101740,double_dqn,dueling,414,7.0,375,0.0,0.0,0.05,,,,,,,,,,1740,10000,0.174,372.0339433439124,372.0339433439124,24936,True,204,101500,0.0,0.0,3,LEFT,greedy,26371,21378,29910,24081,9271,92469,0.09112443483389031,1,50870,2,2,372.0339433439124,186.0169716719562,2,2,186.0169716719562,372.0339433439124,186.0169716719562,372.0339433439124,39.55533305668034,1265.7706578137709,3,LEFT,False,,
101995,double_dqn,dueling,414,,,3.0,3.0,0.05,0.0010751483496278524,1.6135365962982178,2.7624430656433105,0.21573899686336517,1.6524302959442139,2.812614679336548,0.03834199532866478,0.11099803447723389,0.2283303588628769,1996,10000,0.1996,347.5269297754424,347.5269297754424,25000,True,204,101500,0.0,0.0,0,NOOP,greedy,26462,21420,29961,24153,9282,92714,0.09100356876740265,0,50998,2,2,347.5269297754424,173.7634648877212,2,2,173.7634648877212,347.5269297754424,173.7634648877212,347.5269297754424,43.353810377798176,1387.3219320895416,0,NOOP,False,,
101996,double_dqn,dueling,414,,,2.0,2.0,0.05,0.0010751483496278524,1.6135365962982178,2.7624430656433105,0.21573899686336517,1.6524302959442139,2.812614679336548,0.03834199532866478,0.11099803447723389,0.2283303588628769,1996,10000,0.1996,347.5215687923567,347.5215687923567,25000,True,204,101500,0.0,0.0,1,FIRE,greedy,26462,21420,29961,24153,9282,92714,0.09100356876740265,1,50998,2,2,347.5215687923567,173.76078439617834,2,2,173.76078439617834,347.5215687923567,173.76078439617834,347.5215687923567,43.35314159784409,1387.300531131011,1,FIRE,False,,
