global_step,algorithm,architecture,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,terminated,truncated,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,action_inference_transitions_per_second,replay_insertion_calls_per_second,replay_insertion_transitions_per_second,optimizer_updates_per_second,training_samples_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
401,double_dqn,dueling,1,2.0,201,0.0,0.0,0.866,,,,,,,,,,402,10000,0.0402,517.860519783404,517.860519783404,0,False,1,0,0.0,0.0,True,False,2,RIGHT,random,92,148,78,84,356,46,0.8855721393034826,0,201,2,2,517.860519783404,258.930259891702,2,2,258.930259891702,517.860519783404,258.930259891702,517.860519783404,0.0,0.0,2,RIGHT,False,,
494,double_dqn,dueling,2,3.0,247,0.0,0.0,0.858095,,,,,,,,,,494,10000,0.0494,507.11224931062543,507.11224931062543,0,False,1,0,0.0,0.0,True,False,2,RIGHT,random,112,188,93,101,435,59,0.8805668016194332,1,247,2,2,507.11224931062543,253.55612465531271,2,2,253.55612465531271,507.11224931062543,253.55612465531271,507.11224931062543,0.0,0.0,2,RIGHT,False,,
651,double_dqn,dueling,3,0.0,125,0.0,0.0,0.84475,,,,,,,,,,652,10000,0.0652,497.2727411733411,497.2727411733411,0,False,2,500,0.0,0.0,True,False,2,RIGHT,random,145,244,131,132,567,85,0.8696319018404908,0,326,2,2,497.2727411733411,248.63637058667055,2,2,248.63637058667055,497.2727411733411,248.63637058667055,497.2727411733411,0.0,0.0,2,RIGHT,False,,
834,double_dqn,dueling,4,1.0,170,0.0,0.0,0.829195,,,,,,,,,,834,10000,0.0834,527.6018981827482,527.6018981827482,0,False,2,500,0.0,0.0,True,False,1,FIRE,greedy,179,318,164,173,714,120,0.8561151079136691,1,417,2,2,527.6018981827482,263.8009490913741,2,2,263.8009490913741,527.6018981827482,263.8009490913741,527.6018981827482,0.0,0.0,1,FIRE,False,,
1051,double_dqn,dueling,5,2.0,200,0.0,0.0,0.8107500000000001,,,,,,,,,,1052,10000,0.1052,529.6891525281765,529.6891525281765,14,True,3,1000,0.0,0.0,True,False,2,RIGHT,random,231,409,199,213,886,166,0.8422053231939164,0,526,2,2,529.6891525281765,264.84457626408823,2,2,264.84457626408823,529.6891525281765,264.84457626408823,529.6891525281765,7.049095185736189,225.57104594355806,2,RIGHT,False,,
1299,double_dqn,dueling,6,0.0,124,0.0,0.0,0.78967,,,,,,,,,,1300,10000,0.13,473.70777891281324,473.70777891281324,76,True,3,1000,0.0,0.0,True,False,2,RIGHT,random,279,491,253,277,1089,211,0.8376923076923077,0,650,2,2,473.70777891281324,236.85388945640662,2,2,236.85388945640662,473.70777891281324,236.85388945640662,473.70777891281324,27.69368553644139,886.1979371661245,2,RIGHT,False,,
1395,double_dqn,dueling,6,,,0.0,0.0,0.78151,6.387901521520689e-05,0.07206903398036957,0.09170401841402054,0.057110730558633804,0.07338229566812515,0.07394269108772278,0.009203825145959854,0.018275760114192963,0.006576624233275652,1396,10000,0.1396,457.97129214844165,457.97129214844165,100,True,3,1000,0.0,0.0,False,False,3,LEFT,random,294,510,271,321,1163,233,0.8330945558739254,0,698,2,2,457.97129214844165,228.98564607422082,2,2,228.98564607422082,457.97129214844165,228.98564607422082,457.97129214844165,32.80596648627805,1049.7909275608977,3,LEFT,False,,
1396,double_dqn,dueling,6,,,5.0,5.0,0.781425,6.387901521520689e-05,0.07206903398036957,0.09170401841402054,0.057110730558633804,0.07338229566812515,0.07394269108772278,0.009203825145959854,0.018275760114192963,0.006576624233275652,1396,10000,0.1396,457.9534591149581,457.9534591149581,100,True,3,1000,0.0,0.0,False,False,0,NOOP,random,294,510,271,321,1163,233,0.8330945558739254,1,698,2,2,457.9534591149581,228.97672955747905,2,2,228.97672955747905,457.9534591149581,228.97672955747905,457.9534591149581,32.80468904834943,1049.7500495471818,0,NOOP,False,,
1466,double_dqn,dueling,7,5.0,316,0.0,0.0,0.775475,,,,,,,,,,1466,10000,0.1466,449.31897983861114,449.31897983861114,117,False,3,1000,0.0,0.0,True,False,1,FIRE,random,315,523,283,345,1220,246,0.8321964529331515,1,733,2,2,449.31897983861114,224.65948991930557,2,2,224.65948991930557,449.31897983861114,224.65948991930557,449.31897983861114,35.85970030089871,1147.5104096287587,1,FIRE,False,,
1637,double_dqn,dueling,8,1.0,169,0.0,0.0,0.7609400000000001,,,,,,,,,,1638,10000,0.1638,432.7973973339462,432.7973973339462,160,False,4,1500,0.0,0.0,True,False,2,RIGHT,random,356,559,329,394,1355,283,0.8272283272283272,0,819,2,2,432.7973973339462,216.3986986669731,2,2,216.3986986669731,432.7973973339462,216.3986986669731,432.7973973339462,42.27569204727191,1352.8221455127011,2,RIGHT,False,,
