global_step,algorithm,architecture,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,terminated,truncated,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,action_inference_transitions_per_second,replay_insertion_calls_per_second,replay_insertion_transitions_per_second,optimizer_updates_per_second,training_samples_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
398,double_dqn,dueling,1,2.0,199,0.0,0.0,0.866255,,,,,,,,,,398,10000,0.0398,373.3444098619712,373.3444098619712,0,False,1,0,0.0,0.0,True,False,2,RIGHT,random,78,106,121,93,351,47,0.8819095477386935,1,199,2,2,373.3444098619712,186.6722049309856,2,2,186.6722049309856,373.3444098619712,186.6722049309856,373.3444098619712,0.0,0.0,2,RIGHT,False,,
543,double_dqn,dueling,2,3.0,272,0.0,0.0,0.8539300000000001,,,,,,,,,,544,10000,0.0544,371.10226651308994,371.10226651308994,0,False,2,500,0.0,0.0,True,False,3,LEFT,random,104,136,177,127,473,71,0.8694852941176471,0,272,2,2,371.10226651308994,185.55113325654497,2,2,185.55113325654497,371.10226651308994,185.55113325654497,371.10226651308994,0.0,0.0,3,LEFT,False,,
648,double_dqn,dueling,3,0.0,125,0.0,0.0,0.845005,,,,,,,,,,648,10000,0.0648,388.21520042573314,388.21520042573314,0,False,2,500,0.0,0.0,True,False,2,RIGHT,greedy,126,160,210,152,558,90,0.8611111111111112,1,324,2,2,388.21520042573314,194.10760021286657,2,2,194.10760021286657,388.21520042573314,194.10760021286657,388.21520042573314,0.0,0.0,2,RIGHT,False,,
898,double_dqn,dueling,4,0.0,125,0.0,0.0,0.823755,,,,,,,,,,898,10000,0.0898,407.74678944423624,407.74678944423624,0,False,2,500,0.0,0.0,True,False,2,RIGHT,greedy,180,219,302,197,759,139,0.8452115812917594,1,449,2,2,407.74678944423624,203.87339472211812,2,2,203.87339472211812,407.74678944423624,203.87339472211812,407.74678944423624,0.0,0.0,2,RIGHT,False,,
1146,double_dqn,dueling,5,0.0,124,0.0,0.0,0.802675,,,,,,,,,,1146,10000,0.1146,181.99566440731354,181.99566440731354,37,False,3,1000,0.0,0.0,True,False,1,FIRE,greedy,224,301,365,256,964,182,0.8411867364746946,1,573,2,2,181.99566440731354,90.99783220365677,2,2,90.99783220365677,181.99566440731354,90.99783220365677,181.99566440731354,5.875950770567715,188.03042465816688,1,FIRE,False,,
1169,double_dqn,dueling,6,4.0,313,0.0,0.0,0.80072,,,,,,,,,,1170,10000,0.117,182.95226409722653,182.95226409722653,43,False,3,1000,0.0,0.0,True,False,3,LEFT,random,230,308,371,261,987,183,0.8435897435897436,0,585,2,2,182.95226409722653,91.47613204861327,2,2,91.47613204861327,182.95226409722653,91.47613204861327,182.95226409722653,6.7238866292143085,215.16437213485787,3,LEFT,False,,
1392,double_dqn,dueling,7,0.0,123,0.0,0.0,0.781765,,,,,,,,,,1392,10000,0.1392,191.54456778515785,191.54456778515785,99,True,3,1000,0.0,0.0,True,False,1,FIRE,greedy,276,411,405,300,1160,232,0.8333333333333334,1,696,2,2,191.54456778515785,95.77228389257893,2,2,95.77228389257893,191.54456778515785,95.77228389257893,191.54456778515785,13.622781760582347,435.9290163386351,1,FIRE,False,,
1395,double_dqn,dueling,7,,,0.0,0.0,0.78151,6.044902329449542e-05,0.03562478721141815,0.05091802030801773,0.02436087653040886,0.03384746238589287,0.03433159738779068,0.009124523028731346,0.017015300691127777,0.00847516767680645,1396,10000,0.1396,191.57169092997412,191.57169092997412,100,True,3,1000,0.0,0.0,False,False,3,LEFT,random,276,413,406,301,1162,234,0.832378223495702,0,698,2,2,191.57169092997412,95.78584546498706,2,2,95.78584546498706,191.57169092997412,95.78584546498706,191.57169092997412,13.722900496416484,439.1328158853275,3,LEFT,False,,
1396,double_dqn,dueling,7,,,0.0,0.0,0.781425,6.044902329449542e-05,0.03562478721141815,0.05091802030801773,0.02436087653040886,0.03384746238589287,0.03433159738779068,0.009124523028731346,0.017015300691127777,0.00847516767680645,1396,10000,0.1396,191.5674926396318,191.5674926396318,100,True,3,1000,0.0,0.0,False,False,1,FIRE,fire_reset,276,413,406,301,1162,234,0.832378223495702,1,698,2,2,191.5674926396318,95.7837463198159,2,2,95.7837463198159,191.5674926396318,95.7837463198159,191.5674926396318,13.722599759285945,439.12319229715024,1,FIRE,False,initial_serve,
1417,double_dqn,dueling,8,0.0,124,0.0,0.0,0.77964,,,,,,,,,,1418,10000,0.1418,192.64499610028406,192.64499610028406,105,False,3,1000,0.0,0.0,True,False,2,RIGHT,random,280,422,411,305,1179,239,0.8314527503526093,0,709,2,2,192.64499610028406,96.32249805014203,2,2,96.32249805014203,192.64499610028406,96.32249805014203,192.64499610028406,14.26496797639621,456.47897524467874,2,RIGHT,False,,
