evaluation_seed,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,stop_reason,life_loss_count,life_loss_events_without_fire,auto_fire_count,dominant_action,dominant_action_fraction,dominant_greedy_action,dominant_greedy_action_fraction,mean_observation_changed_fraction,unchanged_observation_step_fraction,life_loss_to_fire_latencies_json,action_distribution_json
101,1,101,8.0,591,True,False,False,terminated,5,2,0,RIGHT,0.544839255499154,RIGHT,0.5634517766497462,0.004114293771654178,0.25888324873096447,"[157, 1, 71]","{""FIRE"": 36, ""LEFT"": 135, ""NOOP"": 98, ""RIGHT"": 322}"
101,2,102,8.0,437,True,False,False,terminated,5,1,0,RIGHT,0.5240274599542334,RIGHT,0.528604118993135,0.004908022514879331,0.0,"[33, 1, 1, 1]","{""FIRE"": 45, ""LEFT"": 128, ""NOOP"": 35, ""RIGHT"": 229}"
101,3,103,7.0,377,True,False,False,terminated,5,2,0,RIGHT,0.5411140583554377,RIGHT,0.5570291777188329,0.004736454705666528,0.002652519893899204,"[20, 5, 45]","{""FIRE"": 29, ""LEFT"": 106, ""NOOP"": 38, ""RIGHT"": 204}"
101,4,104,12.0,570,True,False,False,terminated,5,1,0,RIGHT,0.4649122807017544,RIGHT,0.47368421052631576,0.005055794247523571,0.0017543859649122807,"[15, 52, 9, 6]","{""FIRE"": 84, ""LEFT"": 164, ""NOOP"": 57, ""RIGHT"": 265}"
101,5,105,7.0,427,True,False,False,terminated,5,1,0,RIGHT,0.6088992974238876,RIGHT,0.6487119437939111,0.0034206110234882396,0.07494145199063232,"[1, 36, 50, 4]","{""FIRE"": 33, ""LEFT"": 104, ""NOOP"": 30, ""RIGHT"": 260}"
202,1,202,7.0,390,True,False,False,terminated,5,1,0,RIGHT,0.5846153846153846,RIGHT,0.5897435897435898,0.004014314058956916,0.002564102564102564,"[62, 64, 1, 6]","{""FIRE"": 46, ""LEFT"": 89, ""NOOP"": 27, ""RIGHT"": 228}"
202,2,203,8.0,431,True,False,False,terminated,5,1,0,RIGHT,0.617169373549884,RIGHT,0.642691415313225,0.003924191486339316,0.01160092807424594,"[1, 9, 51, 5]","{""FIRE"": 36, ""LEFT"": 102, ""NOOP"": 27, ""RIGHT"": 266}"
202,3,204,8.0,509,True,False,False,terminated,5,1,0,RIGHT,0.6719056974459725,RIGHT,0.6895874263261297,0.0034095047645777365,0.12966601178781925,"[1, 70, 51, 4]","{""FIRE"": 29, ""LEFT"": 109, ""NOOP"": 29, ""RIGHT"": 342}"
202,4,205,8.0,681,True,False,False,terminated,5,1,0,RIGHT,0.7224669603524229,RIGHT,0.7386196769456681,0.0023200175811881286,0.3377386196769457,"[40, 198, 32, 2]","{""FIRE"": 23, ""LEFT"": 92, ""NOOP"": 74, ""RIGHT"": 492}"
202,5,206,12.0,678,True,False,False,terminated,5,1,0,RIGHT,0.7492625368731564,RIGHT,0.7654867256637168,0.002746517117171352,0.24188790560471976,"[1, 32, 7, 150]","{""FIRE"": 31, ""LEFT"": 97, ""NOOP"": 42, ""RIGHT"": 508}"
303,1,303,18.0,617,True,False,False,terminated,5,1,0,RIGHT,0.5559157212317666,RIGHT,0.5640194489465153,0.004966347019629029,0.0032414910858995136,"[115, 64, 2, 1]","{""FIRE"": 60, ""LEFT"": 170, ""NOOP"": 44, ""RIGHT"": 343}"
303,2,304,10.0,537,True,False,False,terminated,5,1,0,RIGHT,0.3538175046554935,RIGHT,0.36685288640595903,0.006024100360193736,0.0037243947858473,"[18, 1, 7, 4]","{""FIRE"": 82, ""LEFT"": 160, ""NOOP"": 105, ""RIGHT"": 190}"
303,3,305,7.0,564,True,False,False,terminated,5,1,0,RIGHT,0.3617021276595745,RIGHT,0.37056737588652483,0.005441774818674515,0.005319148936170213,"[1, 4, 6, 176]","{""FIRE"": 55, ""LEFT"": 178, ""NOOP"": 127, ""RIGHT"": 204}"
303,4,306,6.0,337,True,False,False,terminated,5,1,0,LEFT,0.45103857566765576,LEFT,0.456973293768546,0.006604119145185276,0.0,"[47, 2, 8, 2]","{""FIRE"": 20, ""LEFT"": 152, ""NOOP"": 51, ""RIGHT"": 114}"
303,5,307,12.0,482,True,False,False,terminated,5,1,0,RIGHT,0.487551867219917,RIGHT,0.5,0.004746262267009155,0.002074688796680498,"[2, 3, 1, 7]","{""FIRE"": 63, ""LEFT"": 119, ""NOOP"": 65, ""RIGHT"": 235}"
