schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,9.0,515,True,False,False,,True,terminated,17,102,235,161,"{""FIRE"": 102, ""LEFT"": 161, ""NOOP"": 17, ""RIGHT"": 235}",17,95,239,164,17,102,235,161,"{""FIRE"": 95, ""LEFT"": 164, ""NOOP"": 17, ""RIGHT"": 239}","{""FIRE"": 102, ""LEFT"": 161, ""NOOP"": 17, ""RIGHT"": 235}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,10.0,541,True,False,False,,True,terminated,8,62,249,222,"{""FIRE"": 62, ""LEFT"": 222, ""NOOP"": 8, ""RIGHT"": 249}",8,54,251,228,8,62,249,222,"{""FIRE"": 54, ""LEFT"": 228, ""NOOP"": 8, ""RIGHT"": 251}","{""FIRE"": 62, ""LEFT"": 222, ""NOOP"": 8, ""RIGHT"": 249}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,7.0,381,True,False,False,,True,terminated,18,64,153,146,"{""FIRE"": 64, ""LEFT"": 146, ""NOOP"": 18, ""RIGHT"": 153}",19,56,156,150,18,64,153,146,"{""FIRE"": 56, ""LEFT"": 150, ""NOOP"": 19, ""RIGHT"": 156}","{""FIRE"": 64, ""LEFT"": 146, ""NOOP"": 18, ""RIGHT"": 153}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,6.0,340,True,False,False,,True,terminated,34,80,117,109,"{""FIRE"": 80, ""LEFT"": 109, ""NOOP"": 34, ""RIGHT"": 117}",34,72,124,110,34,80,117,109,"{""FIRE"": 72, ""LEFT"": 110, ""NOOP"": 34, ""RIGHT"": 124}","{""FIRE"": 80, ""LEFT"": 109, ""NOOP"": 34, ""RIGHT"": 117}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,13.0,521,True,False,False,,True,terminated,41,73,234,173,"{""FIRE"": 73, ""LEFT"": 173, ""NOOP"": 41, ""RIGHT"": 234}",41,64,241,175,41,73,234,173,"{""FIRE"": 64, ""LEFT"": 175, ""NOOP"": 41, ""RIGHT"": 241}","{""FIRE"": 73, ""LEFT"": 173, ""NOOP"": 41, ""RIGHT"": 234}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,8.0,454,True,False,False,,True,terminated,6,89,173,186,"{""FIRE"": 89, ""LEFT"": 186, ""NOOP"": 6, ""RIGHT"": 173}",6,82,176,190,6,89,173,186,"{""FIRE"": 82, ""LEFT"": 190, ""NOOP"": 6, ""RIGHT"": 176}","{""FIRE"": 89, ""LEFT"": 186, ""NOOP"": 6, ""RIGHT"": 173}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,13.0,659,True,False,False,,True,terminated,26,96,322,215,"{""FIRE"": 96, ""LEFT"": 215, ""NOOP"": 26, ""RIGHT"": 322}",26,89,325,219,26,96,322,215,"{""FIRE"": 89, ""LEFT"": 219, ""NOOP"": 26, ""RIGHT"": 325}","{""FIRE"": 96, ""LEFT"": 215, ""NOOP"": 26, ""RIGHT"": 322}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,9.0,468,True,False,False,,True,terminated,50,92,200,126,"{""FIRE"": 92, ""LEFT"": 126, ""NOOP"": 50, ""RIGHT"": 200}",52,84,204,128,50,92,200,126,"{""FIRE"": 84, ""LEFT"": 128, ""NOOP"": 52, ""RIGHT"": 204}","{""FIRE"": 92, ""LEFT"": 126, ""NOOP"": 50, ""RIGHT"": 200}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,8.0,444,True,False,False,,True,terminated,46,89,166,143,"{""FIRE"": 89, ""LEFT"": 143, ""NOOP"": 46, ""RIGHT"": 166}",46,82,168,148,46,89,166,143,"{""FIRE"": 82, ""LEFT"": 148, ""NOOP"": 46, ""RIGHT"": 168}","{""FIRE"": 89, ""LEFT"": 143, ""NOOP"": 46, ""RIGHT"": 166}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,8.0,435,True,False,False,,True,terminated,21,76,193,145,"{""FIRE"": 76, ""LEFT"": 145, ""NOOP"": 21, ""RIGHT"": 193}",21,68,198,148,21,76,193,145,"{""FIRE"": 68, ""LEFT"": 148, ""NOOP"": 21, ""RIGHT"": 198}","{""FIRE"": 76, ""LEFT"": 145, ""NOOP"": 21, ""RIGHT"": 193}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,1,303,9.0,401,True,False,False,,True,terminated,3,66,171,161,"{""FIRE"": 66, ""LEFT"": 161, ""NOOP"": 3, ""RIGHT"": 171}",3,58,175,165,3,66,171,161,"{""FIRE"": 58, ""LEFT"": 165, ""NOOP"": 3, ""RIGHT"": 175}","{""FIRE"": 66, ""LEFT"": 161, ""NOOP"": 3, ""RIGHT"": 171}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
