schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,15.0,531,True,False,False,,True,terminated,55,73,150,253,"{""FIRE"": 73, ""LEFT"": 253, ""NOOP"": 55, ""RIGHT"": 150}",55,65,150,261,55,73,150,253,"{""FIRE"": 65, ""LEFT"": 261, ""NOOP"": 55, ""RIGHT"": 150}","{""FIRE"": 73, ""LEFT"": 253, ""NOOP"": 55, ""RIGHT"": 150}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,9.0,446,True,False,False,,True,terminated,60,118,103,165,"{""FIRE"": 118, ""LEFT"": 165, ""NOOP"": 60, ""RIGHT"": 103}",62,110,103,171,60,118,103,165,"{""FIRE"": 110, ""LEFT"": 171, ""NOOP"": 62, ""RIGHT"": 103}","{""FIRE"": 118, ""LEFT"": 165, ""NOOP"": 60, ""RIGHT"": 103}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,27.0,786,True,False,False,,True,terminated,89,112,210,375,"{""FIRE"": 112, ""LEFT"": 375, ""NOOP"": 89, ""RIGHT"": 210}",89,104,212,381,89,112,210,375,"{""FIRE"": 104, ""LEFT"": 381, ""NOOP"": 89, ""RIGHT"": 212}","{""FIRE"": 112, ""LEFT"": 375, ""NOOP"": 89, ""RIGHT"": 210}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,11.0,543,True,False,False,,True,terminated,60,45,169,269,"{""FIRE"": 45, ""LEFT"": 269, ""NOOP"": 60, ""RIGHT"": 169}",60,37,170,276,60,45,169,269,"{""FIRE"": 37, ""LEFT"": 276, ""NOOP"": 60, ""RIGHT"": 170}","{""FIRE"": 45, ""LEFT"": 269, ""NOOP"": 60, ""RIGHT"": 169}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,17.0,733,True,False,False,,True,terminated,166,71,189,307,"{""FIRE"": 71, ""LEFT"": 307, ""NOOP"": 166, ""RIGHT"": 189}",166,63,189,315,166,71,189,307,"{""FIRE"": 63, ""LEFT"": 315, ""NOOP"": 166, ""RIGHT"": 189}","{""FIRE"": 71, ""LEFT"": 307, ""NOOP"": 166, ""RIGHT"": 189}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,12.0,500,True,False,False,,True,terminated,92,45,143,220,"{""FIRE"": 45, ""LEFT"": 220, ""NOOP"": 92, ""RIGHT"": 143}",92,37,143,228,92,45,143,220,"{""FIRE"": 37, ""LEFT"": 228, ""NOOP"": 92, ""RIGHT"": 143}","{""FIRE"": 45, ""LEFT"": 220, ""NOOP"": 92, ""RIGHT"": 143}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,12.0,583,True,False,False,,True,terminated,70,44,168,301,"{""FIRE"": 44, ""LEFT"": 301, ""NOOP"": 70, ""RIGHT"": 168}",70,36,169,308,70,44,168,301,"{""FIRE"": 36, ""LEFT"": 308, ""NOOP"": 70, ""RIGHT"": 169}","{""FIRE"": 44, ""LEFT"": 301, ""NOOP"": 70, ""RIGHT"": 168}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,13.0,639,True,False,False,,True,terminated,72,76,197,294,"{""FIRE"": 76, ""LEFT"": 294, ""NOOP"": 72, ""RIGHT"": 197}",72,67,199,301,72,76,197,294,"{""FIRE"": 67, ""LEFT"": 301, ""NOOP"": 72, ""RIGHT"": 199}","{""FIRE"": 76, ""LEFT"": 294, ""NOOP"": 72, ""RIGHT"": 197}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,16.0,679,True,False,False,,True,terminated,106,131,178,264,"{""FIRE"": 131, ""LEFT"": 264, ""NOOP"": 106, ""RIGHT"": 178}",106,124,178,271,106,131,178,264,"{""FIRE"": 124, ""LEFT"": 271, ""NOOP"": 106, ""RIGHT"": 178}","{""FIRE"": 131, ""LEFT"": 264, ""NOOP"": 106, ""RIGHT"": 178}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,25.0,831,True,False,False,,True,terminated,106,46,246,433,"{""FIRE"": 46, ""LEFT"": 433, ""NOOP"": 106, ""RIGHT"": 246}",106,38,247,440,106,46,246,433,"{""FIRE"": 38, ""LEFT"": 440, ""NOOP"": 106, ""RIGHT"": 247}","{""FIRE"": 46, ""LEFT"": 433, ""NOOP"": 106, ""RIGHT"": 246}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,1,303,19.0,582,True,False,False,,True,terminated,83,31,195,273,"{""FIRE"": 31, ""LEFT"": 273, ""NOOP"": 83, ""RIGHT"": 195}",83,22,196,281,83,31,195,273,"{""FIRE"": 22, ""LEFT"": 281, ""NOOP"": 83, ""RIGHT"": 196}","{""FIRE"": 31, ""LEFT"": 273, ""NOOP"": 83, ""RIGHT"": 195}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,2,304,23.0,774,True,False,False,,True,terminated,165,42,225,342,"{""FIRE"": 42, ""LEFT"": 342, ""NOOP"": 165, ""RIGHT"": 225}",165,33,225,351,165,42,225,342,"{""FIRE"": 33, ""LEFT"": 351, ""NOOP"": 165, ""RIGHT"": 225}","{""FIRE"": 42, ""LEFT"": 342, ""NOOP"": 165, ""RIGHT"": 225}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
