schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,9.0,448,True,False,False,,True,terminated,103,241,52,52,"{""FIRE"": 241, ""LEFT"": 52, ""NOOP"": 103, ""RIGHT"": 52}",103,238,53,54,103,241,52,52,"{""FIRE"": 238, ""LEFT"": 54, ""NOOP"": 103, ""RIGHT"": 53}","{""FIRE"": 241, ""LEFT"": 52, ""NOOP"": 103, ""RIGHT"": 52}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,7.0,370,True,False,False,,True,terminated,58,208,52,52,"{""FIRE"": 208, ""LEFT"": 52, ""NOOP"": 58, ""RIGHT"": 52}",58,205,54,53,58,208,52,52,"{""FIRE"": 205, ""LEFT"": 53, ""NOOP"": 58, ""RIGHT"": 54}","{""FIRE"": 208, ""LEFT"": 52, ""NOOP"": 58, ""RIGHT"": 52}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,6.0,359,True,False,False,,True,terminated,85,188,43,43,"{""FIRE"": 188, ""LEFT"": 43, ""NOOP"": 85, ""RIGHT"": 43}",88,184,44,43,85,188,43,43,"{""FIRE"": 184, ""LEFT"": 43, ""NOOP"": 88, ""RIGHT"": 44}","{""FIRE"": 188, ""LEFT"": 43, ""NOOP"": 85, ""RIGHT"": 43}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,19.0,698,True,False,False,,True,terminated,236,307,77,78,"{""FIRE"": 307, ""LEFT"": 78, ""NOOP"": 236, ""RIGHT"": 77}",239,302,79,78,236,307,77,78,"{""FIRE"": 302, ""LEFT"": 78, ""NOOP"": 239, ""RIGHT"": 79}","{""FIRE"": 307, ""LEFT"": 78, ""NOOP"": 236, ""RIGHT"": 77}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,15.0,651,True,False,False,,True,terminated,258,265,62,66,"{""FIRE"": 265, ""LEFT"": 66, ""NOOP"": 258, ""RIGHT"": 62}",260,262,62,67,258,265,62,66,"{""FIRE"": 262, ""LEFT"": 67, ""NOOP"": 260, ""RIGHT"": 62}","{""FIRE"": 265, ""LEFT"": 66, ""NOOP"": 258, ""RIGHT"": 62}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,10.0,533,True,False,False,,True,terminated,146,264,60,63,"{""FIRE"": 264, ""LEFT"": 63, ""NOOP"": 146, ""RIGHT"": 60}",148,260,62,63,146,264,60,63,"{""FIRE"": 260, ""LEFT"": 63, ""NOOP"": 148, ""RIGHT"": 62}","{""FIRE"": 264, ""LEFT"": 63, ""NOOP"": 146, ""RIGHT"": 60}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,8.0,416,True,False,False,,True,terminated,82,243,45,46,"{""FIRE"": 243, ""LEFT"": 46, ""NOOP"": 82, ""RIGHT"": 45}",83,241,45,47,82,243,45,46,"{""FIRE"": 241, ""LEFT"": 47, ""NOOP"": 83, ""RIGHT"": 45}","{""FIRE"": 243, ""LEFT"": 46, ""NOOP"": 82, ""RIGHT"": 45}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,10.0,438,True,False,False,,True,terminated,89,234,54,61,"{""FIRE"": 234, ""LEFT"": 61, ""NOOP"": 89, ""RIGHT"": 54}",90,230,54,64,89,234,54,61,"{""FIRE"": 230, ""LEFT"": 64, ""NOOP"": 90, ""RIGHT"": 54}","{""FIRE"": 234, ""LEFT"": 61, ""NOOP"": 89, ""RIGHT"": 54}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,14.0,647,True,False,False,,True,terminated,221,262,81,83,"{""FIRE"": 262, ""LEFT"": 83, ""NOOP"": 221, ""RIGHT"": 81}",224,258,82,83,221,262,81,83,"{""FIRE"": 258, ""LEFT"": 83, ""NOOP"": 224, ""RIGHT"": 82}","{""FIRE"": 262, ""LEFT"": 83, ""NOOP"": 221, ""RIGHT"": 81}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,16.0,649,True,False,False,,True,terminated,314,209,61,65,"{""FIRE"": 209, ""LEFT"": 65, ""NOOP"": 314, ""RIGHT"": 61}",317,204,61,67,314,209,61,65,"{""FIRE"": 204, ""LEFT"": 67, ""NOOP"": 317, ""RIGHT"": 61}","{""FIRE"": 209, ""LEFT"": 65, ""NOOP"": 314, ""RIGHT"": 61}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
