schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,9.0,414,True,False,False,,True,terminated,82,48,183,101,"{""FIRE"": 48, ""LEFT"": 101, ""NOOP"": 82, ""RIGHT"": 183}",86,38,186,104,82,48,183,101,"{""FIRE"": 38, ""LEFT"": 104, ""NOOP"": 86, ""RIGHT"": 186}","{""FIRE"": 48, ""LEFT"": 101, ""NOOP"": 82, ""RIGHT"": 183}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,6.0,340,True,False,False,,True,terminated,80,35,153,72,"{""FIRE"": 35, ""LEFT"": 72, ""NOOP"": 80, ""RIGHT"": 153}",84,25,157,74,80,35,153,72,"{""FIRE"": 25, ""LEFT"": 74, ""NOOP"": 84, ""RIGHT"": 157}","{""FIRE"": 35, ""LEFT"": 72, ""NOOP"": 80, ""RIGHT"": 153}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,16.0,611,True,False,False,,True,terminated,108,38,331,134,"{""FIRE"": 38, ""LEFT"": 134, ""NOOP"": 108, ""RIGHT"": 331}",110,29,336,136,108,38,331,134,"{""FIRE"": 29, ""LEFT"": 136, ""NOOP"": 110, ""RIGHT"": 336}","{""FIRE"": 38, ""LEFT"": 134, ""NOOP"": 108, ""RIGHT"": 331}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,5.0,325,True,False,False,,True,terminated,40,14,221,50,"{""FIRE"": 14, ""LEFT"": 50, ""NOOP"": 40, ""RIGHT"": 221}",40,4,230,51,40,14,221,50,"{""FIRE"": 4, ""LEFT"": 51, ""NOOP"": 40, ""RIGHT"": 230}","{""FIRE"": 14, ""LEFT"": 50, ""NOOP"": 40, ""RIGHT"": 221}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,20.0,774,True,False,False,,True,terminated,105,37,472,160,"{""FIRE"": 37, ""LEFT"": 160, ""NOOP"": 105, ""RIGHT"": 472}",106,29,479,160,105,37,472,160,"{""FIRE"": 29, ""LEFT"": 160, ""NOOP"": 106, ""RIGHT"": 479}","{""FIRE"": 37, ""LEFT"": 160, ""NOOP"": 105, ""RIGHT"": 472}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,12.0,547,True,False,False,,True,terminated,57,65,298,127,"{""FIRE"": 65, ""LEFT"": 127, ""NOOP"": 57, ""RIGHT"": 298}",60,56,302,129,57,65,298,127,"{""FIRE"": 56, ""LEFT"": 129, ""NOOP"": 60, ""RIGHT"": 302}","{""FIRE"": 65, ""LEFT"": 127, ""NOOP"": 57, ""RIGHT"": 298}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,17.0,626,True,False,False,,True,terminated,65,72,367,122,"{""FIRE"": 72, ""LEFT"": 122, ""NOOP"": 65, ""RIGHT"": 367}",67,62,371,126,65,72,367,122,"{""FIRE"": 62, ""LEFT"": 126, ""NOOP"": 67, ""RIGHT"": 371}","{""FIRE"": 72, ""LEFT"": 122, ""NOOP"": 65, ""RIGHT"": 367}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,12.0,558,True,False,False,,True,terminated,108,49,302,99,"{""FIRE"": 49, ""LEFT"": 99, ""NOOP"": 108, ""RIGHT"": 302}",111,39,308,100,108,49,302,99,"{""FIRE"": 39, ""LEFT"": 100, ""NOOP"": 111, ""RIGHT"": 308}","{""FIRE"": 49, ""LEFT"": 99, ""NOOP"": 108, ""RIGHT"": 302}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,12.0,551,True,False,False,,True,terminated,130,22,303,96,"{""FIRE"": 22, ""LEFT"": 96, ""NOOP"": 130, ""RIGHT"": 303}",132,12,310,97,130,22,303,96,"{""FIRE"": 12, ""LEFT"": 97, ""NOOP"": 132, ""RIGHT"": 310}","{""FIRE"": 22, ""LEFT"": 96, ""NOOP"": 130, ""RIGHT"": 303}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,7.0,375,True,False,False,,True,terminated,72,27,206,70,"{""FIRE"": 27, ""LEFT"": 70, ""NOOP"": 72, ""RIGHT"": 206}",79,17,209,70,72,27,206,70,"{""FIRE"": 17, ""LEFT"": 70, ""NOOP"": 79, ""RIGHT"": 209}","{""FIRE"": 27, ""LEFT"": 70, ""NOOP"": 72, ""RIGHT"": 206}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,1,303,7.0,346,True,False,False,,True,terminated,76,42,140,88,"{""FIRE"": 42, ""LEFT"": 88, ""NOOP"": 76, ""RIGHT"": 140}",79,34,145,88,76,42,140,88,"{""FIRE"": 34, ""LEFT"": 88, ""NOOP"": 79, ""RIGHT"": 145}","{""FIRE"": 42, ""LEFT"": 88, ""NOOP"": 76, ""RIGHT"": 140}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,2,304,4.0,263,True,False,False,,True,terminated,34,43,128,58,"{""FIRE"": 43, ""LEFT"": 58, ""NOOP"": 34, ""RIGHT"": 128}",35,39,130,59,34,43,128,58,"{""FIRE"": 39, ""LEFT"": 59, ""NOOP"": 35, ""RIGHT"": 130}","{""FIRE"": 43, ""LEFT"": 58, ""NOOP"": 34, ""RIGHT"": 128}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,3,305,4.0,296,True,False,False,,True,terminated,44,20,182,50,"{""FIRE"": 20, ""LEFT"": 50, ""NOOP"": 44, ""RIGHT"": 182}",46,10,189,51,44,20,182,50,"{""FIRE"": 10, ""LEFT"": 51, ""NOOP"": 46, ""RIGHT"": 189}","{""FIRE"": 20, ""LEFT"": 50, ""NOOP"": 44, ""RIGHT"": 182}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,4,306,12.0,546,True,False,False,,True,terminated,75,23,334,114,"{""FIRE"": 23, ""LEFT"": 114, ""NOOP"": 75, ""RIGHT"": 334}",80,13,338,115,75,23,334,114,"{""FIRE"": 13, ""LEFT"": 115, ""NOOP"": 80, ""RIGHT"": 338}","{""FIRE"": 23, ""LEFT"": 114, ""NOOP"": 75, ""RIGHT"": 334}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,5,307,8.0,419,True,False,False,,True,terminated,38,42,261,78,"{""FIRE"": 42, ""LEFT"": 78, ""NOOP"": 38, ""RIGHT"": 261}",41,32,267,79,38,42,261,78,"{""FIRE"": 32, ""LEFT"": 79, ""NOOP"": 41, ""RIGHT"": 267}","{""FIRE"": 42, ""LEFT"": 78, ""NOOP"": 38, ""RIGHT"": 261}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
