schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,29.0,1081,True,False,False,,True,terminated,188,383,205,305,"{""FIRE"": 383, ""LEFT"": 305, ""NOOP"": 188, ""RIGHT"": 205}",188,378,206,309,188,383,205,305,"{""FIRE"": 378, ""LEFT"": 309, ""NOOP"": 188, ""RIGHT"": 206}","{""FIRE"": 383, ""LEFT"": 305, ""NOOP"": 188, ""RIGHT"": 205}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,39.0,840,True,False,False,,True,terminated,162,248,185,245,"{""FIRE"": 248, ""LEFT"": 245, ""NOOP"": 162, ""RIGHT"": 185}",163,244,185,248,162,248,185,245,"{""FIRE"": 244, ""LEFT"": 248, ""NOOP"": 163, ""RIGHT"": 185}","{""FIRE"": 248, ""LEFT"": 245, ""NOOP"": 162, ""RIGHT"": 185}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,40.0,941,True,False,False,,True,terminated,235,233,184,289,"{""FIRE"": 233, ""LEFT"": 289, ""NOOP"": 235, ""RIGHT"": 184}",237,224,185,295,235,233,184,289,"{""FIRE"": 224, ""LEFT"": 295, ""NOOP"": 237, ""RIGHT"": 185}","{""FIRE"": 233, ""LEFT"": 289, ""NOOP"": 235, ""RIGHT"": 184}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,38.0,1103,True,False,False,,True,terminated,285,266,222,330,"{""FIRE"": 266, ""LEFT"": 330, ""NOOP"": 285, ""RIGHT"": 222}",286,257,224,336,285,266,222,330,"{""FIRE"": 257, ""LEFT"": 336, ""NOOP"": 286, ""RIGHT"": 224}","{""FIRE"": 266, ""LEFT"": 330, ""NOOP"": 285, ""RIGHT"": 222}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,37.0,995,True,False,False,,True,terminated,214,182,261,338,"{""FIRE"": 182, ""LEFT"": 338, ""NOOP"": 214, ""RIGHT"": 261}",215,174,261,345,214,182,261,338,"{""FIRE"": 174, ""LEFT"": 345, ""NOOP"": 215, ""RIGHT"": 261}","{""FIRE"": 182, ""LEFT"": 338, ""NOOP"": 214, ""RIGHT"": 261}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,33.0,841,True,False,False,,True,terminated,165,280,155,241,"{""FIRE"": 280, ""LEFT"": 241, ""NOOP"": 165, ""RIGHT"": 155}",167,272,156,246,165,280,155,241,"{""FIRE"": 272, ""LEFT"": 246, ""NOOP"": 167, ""RIGHT"": 156}","{""FIRE"": 280, ""LEFT"": 241, ""NOOP"": 165, ""RIGHT"": 155}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,39.0,1076,True,False,False,,True,terminated,163,311,229,373,"{""FIRE"": 311, ""LEFT"": 373, ""NOOP"": 163, ""RIGHT"": 229}",163,305,229,379,163,311,229,373,"{""FIRE"": 305, ""LEFT"": 379, ""NOOP"": 163, ""RIGHT"": 229}","{""FIRE"": 311, ""LEFT"": 373, ""NOOP"": 163, ""RIGHT"": 229}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,30.0,975,True,False,False,,True,terminated,150,282,237,306,"{""FIRE"": 282, ""LEFT"": 306, ""NOOP"": 150, ""RIGHT"": 237}",151,274,238,312,150,282,237,306,"{""FIRE"": 274, ""LEFT"": 312, ""NOOP"": 151, ""RIGHT"": 238}","{""FIRE"": 282, ""LEFT"": 306, ""NOOP"": 150, ""RIGHT"": 237}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,49.0,1137,True,False,False,,True,terminated,255,298,206,378,"{""FIRE"": 298, ""LEFT"": 378, ""NOOP"": 255, ""RIGHT"": 206}",255,292,206,384,255,298,206,378,"{""FIRE"": 292, ""LEFT"": 384, ""NOOP"": 255, ""RIGHT"": 206}","{""FIRE"": 298, ""LEFT"": 378, ""NOOP"": 255, ""RIGHT"": 206}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,32.0,961,True,False,False,,True,terminated,289,235,164,273,"{""FIRE"": 235, ""LEFT"": 273, ""NOOP"": 289, ""RIGHT"": 164}",290,228,164,279,289,235,164,273,"{""FIRE"": 228, ""LEFT"": 279, ""NOOP"": 290, ""RIGHT"": 164}","{""FIRE"": 235, ""LEFT"": 273, ""NOOP"": 289, ""RIGHT"": 164}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,1,303,30.0,883,True,False,False,,True,terminated,184,263,166,270,"{""FIRE"": 263, ""LEFT"": 270, ""NOOP"": 184, ""RIGHT"": 166}",184,255,167,277,184,263,166,270,"{""FIRE"": 255, ""LEFT"": 277, ""NOOP"": 184, ""RIGHT"": 167}","{""FIRE"": 263, ""LEFT"": 270, ""NOOP"": 184, ""RIGHT"": 166}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,2,304,47.0,1260,True,False,False,,True,terminated,298,378,242,342,"{""FIRE"": 378, ""LEFT"": 342, ""NOOP"": 298, ""RIGHT"": 242}",300,371,243,346,298,378,242,342,"{""FIRE"": 371, ""LEFT"": 346, ""NOOP"": 300, ""RIGHT"": 243}","{""FIRE"": 378, ""LEFT"": 342, ""NOOP"": 298, ""RIGHT"": 242}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,3,305,29.0,755,True,False,False,,True,terminated,158,264,141,192,"{""FIRE"": 264, ""LEFT"": 192, ""NOOP"": 158, ""RIGHT"": 141}",158,258,143,196,158,264,141,192,"{""FIRE"": 258, ""LEFT"": 196, ""NOOP"": 158, ""RIGHT"": 143}","{""FIRE"": 264, ""LEFT"": 192, ""NOOP"": 158, ""RIGHT"": 141}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,4,306,40.0,936,True,False,False,,True,terminated,210,239,218,269,"{""FIRE"": 239, ""LEFT"": 269, ""NOOP"": 210, ""RIGHT"": 218}",211,231,220,274,210,239,218,269,"{""FIRE"": 231, ""LEFT"": 274, ""NOOP"": 211, ""RIGHT"": 220}","{""FIRE"": 239, ""LEFT"": 269, ""NOOP"": 210, ""RIGHT"": 218}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,5,307,41.0,1002,True,False,False,,True,terminated,227,325,180,270,"{""FIRE"": 325, ""LEFT"": 270, ""NOOP"": 227, ""RIGHT"": 180}",229,318,180,275,227,325,180,270,"{""FIRE"": 318, ""LEFT"": 275, ""NOOP"": 229, ""RIGHT"": 180}","{""FIRE"": 325, ""LEFT"": 270, ""NOOP"": 227, ""RIGHT"": 180}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
