schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,15.0,645,True,False,False,,True,terminated,131,172,160,182,"{""FIRE"": 172, ""LEFT"": 182, ""NOOP"": 131, ""RIGHT"": 160}",131,165,166,183,131,172,160,182,"{""FIRE"": 165, ""LEFT"": 183, ""NOOP"": 131, ""RIGHT"": 166}","{""FIRE"": 172, ""LEFT"": 182, ""NOOP"": 131, ""RIGHT"": 160}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,20.0,763,True,False,False,,True,terminated,169,214,175,205,"{""FIRE"": 214, ""LEFT"": 205, ""NOOP"": 169, ""RIGHT"": 175}",170,208,176,209,169,214,175,205,"{""FIRE"": 208, ""LEFT"": 209, ""NOOP"": 170, ""RIGHT"": 176}","{""FIRE"": 214, ""LEFT"": 205, ""NOOP"": 169, ""RIGHT"": 175}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,24.0,776,True,False,False,,True,terminated,187,219,163,207,"{""FIRE"": 219, ""LEFT"": 207, ""NOOP"": 187, ""RIGHT"": 163}",187,212,164,213,187,219,163,207,"{""FIRE"": 212, ""LEFT"": 213, ""NOOP"": 187, ""RIGHT"": 164}","{""FIRE"": 219, ""LEFT"": 207, ""NOOP"": 187, ""RIGHT"": 163}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,32.0,1053,True,False,False,,True,terminated,281,227,214,331,"{""FIRE"": 227, ""LEFT"": 331, ""NOOP"": 281, ""RIGHT"": 214}",282,220,216,335,281,227,214,331,"{""FIRE"": 220, ""LEFT"": 335, ""NOOP"": 282, ""RIGHT"": 216}","{""FIRE"": 227, ""LEFT"": 331, ""NOOP"": 281, ""RIGHT"": 214}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,26.0,972,True,False,False,,True,terminated,138,268,228,338,"{""FIRE"": 268, ""LEFT"": 338, ""NOOP"": 138, ""RIGHT"": 228}",138,261,229,344,138,268,228,338,"{""FIRE"": 261, ""LEFT"": 344, ""NOOP"": 138, ""RIGHT"": 229}","{""FIRE"": 268, ""LEFT"": 338, ""NOOP"": 138, ""RIGHT"": 228}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,36.0,1012,True,False,False,,True,terminated,223,326,202,261,"{""FIRE"": 326, ""LEFT"": 261, ""NOOP"": 223, ""RIGHT"": 202}",224,320,205,263,223,326,202,261,"{""FIRE"": 320, ""LEFT"": 263, ""NOOP"": 224, ""RIGHT"": 205}","{""FIRE"": 326, ""LEFT"": 261, ""NOOP"": 223, ""RIGHT"": 202}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,44.0,1221,True,False,False,,True,terminated,231,332,284,374,"{""FIRE"": 332, ""LEFT"": 374, ""NOOP"": 231, ""RIGHT"": 284}",232,324,284,381,231,332,284,374,"{""FIRE"": 324, ""LEFT"": 381, ""NOOP"": 232, ""RIGHT"": 284}","{""FIRE"": 332, ""LEFT"": 374, ""NOOP"": 231, ""RIGHT"": 284}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,30.0,1012,True,False,False,,True,terminated,118,339,218,337,"{""FIRE"": 339, ""LEFT"": 337, ""NOOP"": 118, ""RIGHT"": 218}",118,330,221,343,118,339,218,337,"{""FIRE"": 330, ""LEFT"": 343, ""NOOP"": 118, ""RIGHT"": 221}","{""FIRE"": 339, ""LEFT"": 337, ""NOOP"": 118, ""RIGHT"": 218}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,72.0,1314,True,False,False,,True,terminated,376,392,248,298,"{""FIRE"": 392, ""LEFT"": 298, ""NOOP"": 376, ""RIGHT"": 248}",378,385,249,302,376,392,248,298,"{""FIRE"": 385, ""LEFT"": 302, ""NOOP"": 378, ""RIGHT"": 249}","{""FIRE"": 392, ""LEFT"": 298, ""NOOP"": 376, ""RIGHT"": 248}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,59.0,1310,True,False,False,,True,terminated,402,348,233,327,"{""FIRE"": 348, ""LEFT"": 327, ""NOOP"": 402, ""RIGHT"": 233}",402,340,235,333,402,348,233,327,"{""FIRE"": 340, ""LEFT"": 333, ""NOOP"": 402, ""RIGHT"": 235}","{""FIRE"": 348, ""LEFT"": 327, ""NOOP"": 402, ""RIGHT"": 233}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
