global_step,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,target_mean,gradient_norm,replay_size,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action_source
1,0,,,0.0,0.0,0.9,,,,,,1,13.50063318373182,13.50063318373182,0,False,1,0,0.0,0.0,random
2,0,,,0.0,0.0,0.89915,,,,,,2,26.341992821890294,26.341992821890294,0,False,1,0,0.0,0.0,random
3,0,,,0.0,0.0,0.8983,,,,,,3,38.6591960069346,38.6591960069346,0,False,1,0,0.0,0.0,random
4,0,,,0.0,0.0,0.89745,,,,,,4,50.26748587414372,50.26748587414372,0,False,1,0,0.0,0.0,greedy
5,0,,,0.0,0.0,0.8966000000000001,,,,,,5,61.47944131867893,61.47944131867893,0,False,1,0,0.0,0.0,random
6,0,,,0.0,0.0,0.89575,,,,,,6,71.41377853385818,71.41377853385818,0,False,1,0,0.0,0.0,random
7,0,,,0.0,0.0,0.8949,,,,,,7,80.94525552740562,80.94525552740562,0,False,1,0,0.0,0.0,random
8,0,,,0.0,0.0,0.89405,,,,,,8,90.02318102248371,90.02318102248371,0,False,1,0,0.0,0.0,random
9,0,,,0.0,0.0,0.8932,,,,,,9,98.6902704749432,98.6902704749432,0,False,1,0,0.0,0.0,random
10,0,,,0.0,0.0,0.89235,,,,,,10,106.31398768638009,106.31398768638009,0,False,1,0,0.0,0.0,random
11,0,,,0.0,0.0,0.8915000000000001,,,,,,11,114.09462800123833,114.09462800123833,0,False,1,0,0.0,0.0,random
12,0,,,0.0,0.0,0.89065,,,,,,12,121.49868627837927,121.49868627837927,0,False,1,0,0.0,0.0,random
13,0,,,0.0,0.0,0.8898,,,,,,13,128.4629409030218,128.4629409030218,0,False,1,0,0.0,0.0,random
14,0,,,0.0,0.0,0.88895,,,,,,14,135.20900421292137,135.20900421292137,0,False,1,0,0.0,0.0,random
15,0,,,0.0,0.0,0.8881,,,,,,15,142.19492082496726,142.19492082496726,0,False,1,0,0.0,0.0,random
16,0,,,0.0,0.0,0.88725,,,,,,16,149.0103384927667,149.0103384927667,0,False,1,0,0.0,0.0,greedy
17,0,,,0.0,0.0,0.8864000000000001,,,,,,17,155.71644222817196,155.71644222817196,0,False,1,0,0.0,0.0,greedy
18,0,,,0.0,0.0,0.8855500000000001,,,,,,18,162.4526743251768,162.4526743251768,0,False,1,0,0.0,0.0,random
19,0,,,0.0,0.0,0.8847,,,,,,19,169.1584899885095,169.1584899885095,0,False,1,0,0.0,0.0,random
20,0,,,0.0,0.0,0.88385,,,,,,20,174.9383342665723,174.9383342665723,0,False,1,0,0.0,0.0,random
21,0,,,0.0,0.0,0.883,,,,,,21,180.9993751575855,180.9993751575855,0,False,1,0,0.0,0.0,random
22,0,,,0.0,0.0,0.88215,,,,,,22,186.8838143616742,186.8838143616742,0,False,1,0,0.0,0.0,random
23,0,,,0.0,0.0,0.8813,,,,,,23,192.82667988333458,192.82667988333458,0,False,1,0,0.0,0.0,random
24,0,,,0.0,0.0,0.8804500000000001,,,,,,24,197.6307368391333,197.6307368391333,0,False,1,0,0.0,0.0,random
25,0,,,0.0,0.0,0.8796,,,,,,25,202.78727054751337,202.78727054751337,0,False,1,0,0.0,0.0,random
26,0,,,0.0,0.0,0.87875,,,,,,26,208.18936913487425,208.18936913487425,0,False,1,0,0.0,0.0,random
27,0,,,0.0,0.0,0.8779,,,,,,27,213.4166343309432,213.4166343309432,0,False,1,0,0.0,0.0,random
28,0,,,0.0,0.0,0.87705,,,,,,28,216.25779788830366,216.25779788830366,0,False,1,0,0.0,0.0,random
29,0,,,0.0,0.0,0.8762,,,,,,29,219.50207855009938,219.50207855009938,0,False,1,0,0.0,0.0,random
30,0,,,0.0,0.0,0.8753500000000001,,,,,,30,222.55968871322997,222.55968871322997,0,False,1,0,0.0,0.0,random
